                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
t_subj.10         0.124617   0.00122495     0.122121     0.123772      0.12467     0.125468     0.126857  4.30699e-05
t_subj.11         0.226123  0.000534161     0.224996     0.225793     0.226138     0.226502     0.227104  2.07269e-05
t_subj.12          0.23919  0.000416022     0.238364     0.238913     0.239185     0.239483     0.239976  1.37244e-05
t_subj.13        0.0748819   0.00163825     0.071596    0.0737738    0.0749267    0.0760247    0.0779798  6.02614e-05
t_subj.14         0.234284  0.000371916     0.233568      0.23403     0.234286      0.23453     0.235036  1.05318e-05
t_subj.15         0.200994  0.000721768     0.199596     0.200537     0.200985     0.201478     0.202438  2.61764e-05
t_subj.16         0.137748   0.00115221     0.135347     0.137021     0.137778     0.138477     0.140003  4.35583e-05
t_subj.17      3.77819e-06  5.35351e-06  3.60625e-09  4.33178e-07  1.76302e-06  4.99049e-06  1.97611e-05  2.03875e-07
t_subj.18        0.0839235   0.00165248    0.0806472     0.082841    0.0839156     0.085068    0.0871187  6.54226e-05
t_subj.19         0.199737  0.000759595     0.198185     0.199226     0.199762      0.20025     0.201216  2.74773e-05
t_subj.20         0.101147   0.00138534    0.0984346     0.100256     0.101182     0.102103     0.103769  5.26982e-05
t_subj.21         0.200833  0.000716564     0.199411     0.200361     0.200816     0.201321     0.202208  2.56733e-05
t_subj.22         0.172534  0.000998372     0.170526     0.171836     0.172556     0.173234     0.174371  3.52457e-05
t_subj.23         0.115437  0.000567764     0.114291     0.115057     0.115462     0.115829     0.116517  1.30451e-05
z(hc)             0.500865   0.00856102     0.483952     0.495217     0.500621     0.506479     0.518099   0.00017963
z(hv)             0.491055     0.008842     0.473947     0.485346     0.490843     0.496842     0.508317  0.000202555
z(lc)             0.561628    0.0084625     0.545018     0.555721     0.561679     0.567169     0.578303  0.000188802
z(lv)             0.564986   0.00858266     0.547641     0.559169     0.564973     0.570696      0.58137   0.00019862
z_std             0.162509    0.0126576     0.139962     0.153483     0.162106     0.170944     0.187874  0.000347878
z_subj(hc).0      0.484373     0.011809     0.460565     0.476211      0.48454     0.492443     0.508093  0.000250654
z_subj(hc).1      0.502379    0.0127378     0.477293     0.493929     0.502449     0.510957     0.527053  0.000313451
z_subj(hc).2        0.4931    0.0128309     0.468696     0.484025     0.492791     0.501913     0.519227   0.00028039
z_subj(hc).3      0.505396    0.0133064     0.478218     0.496723     0.505521      0.51445     0.531833  0.000279049
z_subj(hc).4      0.487642    0.0123351     0.461857     0.479722     0.487764     0.496217     0.511071  0.000272779
z_subj(hc).5      0.493923    0.0126276      0.46973     0.485284     0.494207     0.502905      0.51799  0.000293401
z_subj(hc).6      0.474871    0.0132509     0.448739     0.466328     0.475028     0.483974     0.500562   0.00028479
z_subj(hc).7      0.563116    0.0115898      0.54041     0.555414     0.563099     0.570896     0.585458  0.000252461
z_subj(hc).8      0.458898    0.0141257     0.431414     0.449382     0.459042     0.468684     0.486057  0.000352686
z_subj(hc).9      0.533289    0.0116277     0.511353     0.525021     0.533189     0.540831     0.556862  0.000266047
z_subj(hc).10     0.491701    0.0116813     0.468681     0.483934     0.491575     0.499594     0.514482  0.000279229
z_subj(hc).11      0.46953    0.0117145     0.446155     0.461558     0.469657     0.477338     0.492623  0.000266724
z_subj(hc).12     0.547833    0.0119954     0.523722     0.539643     0.547893     0.556013     0.572257  0.000301749
z_subj(hc).13     0.547648    0.0118874     0.523728     0.539822     0.547737     0.555862     0.570652   0.00027314
z_subj(hc).14     0.524319     0.012888     0.499004     0.515892     0.524406     0.532864     0.549703  0.000308142
z_subj(hc).15      0.55059    0.0118813     0.527657     0.542623     0.550575     0.558762     0.574471  0.000286639
