                     mean          std       2.5q        25q        50q        75q      97.5q       mc err
a_subj(lc).769    1.10809    0.0205229    1.06852    1.09401    1.10785    1.12212    1.14827  0.000432851
a_subj(lc).770   0.974274    0.0177908   0.940266   0.962317   0.974364   0.986185    1.00865  0.000359418
a_subj(lc).771   0.883734    0.0159495   0.853336   0.872657    0.88341   0.894324    0.91698  0.000336071
a_subj(lc).772   0.963677    0.0176452   0.931512   0.951532   0.963294   0.975565   0.998944  0.000374331
a_subj(lc).773    1.00155    0.0178201   0.967313   0.989592     1.0015    1.01328    1.03664  0.000379249
a_subj(lc).774    1.04553    0.0197649    1.00693    1.03257    1.04541    1.05836    1.08519  0.000439124
a_subj(lc).775    1.01891     0.017464   0.985204    1.00686    1.01903    1.03032    1.05343   0.00037167
a_subj(lc).776    1.11524    0.0204361    1.07676    1.10169    1.11486    1.12889    1.15573  0.000494431
a_subj(lc).777    1.07352    0.0191876    1.03587    1.06098    1.07314    1.08667    1.11041  0.000430733
a_subj(lc).778    1.14981    0.0201617    1.11205    1.13641    1.14919     1.1627    1.19159  0.000396278
a_subj(lc).779    1.04291    0.0189478    1.00713    1.02967    1.04255     1.0561     1.0795  0.000370029
a_subj(lc).780   0.868652    0.0152511   0.839212   0.858077   0.868604   0.878712   0.899141  0.000297971
a_subj(lc).781   0.932783    0.0166174   0.899876   0.921375   0.932781   0.943824   0.965561  0.000324932
a_subj(lc).782   0.995849    0.0184679   0.959877   0.983433   0.995435    1.00852    1.03252  0.000394604
a_subj(lc).783    1.00575    0.0182568   0.969872   0.993384    1.00566    1.01804    1.04274  0.000406871
a_subj(lc).784    1.20288    0.0218039     1.1605    1.18781    1.20258    1.21666    1.24717  0.000405178
a_subj(lv).761   0.843353    0.0144509   0.815327   0.833671    0.84311   0.852554   0.872751  0.000301112
a_subj(lv).762   0.940605    0.0165394   0.910061   0.929289   0.940163   0.951606   0.973884  0.000321749
a_subj(lv).763   0.961619    0.0169714   0.926767   0.950666   0.961799    0.97292   0.994002  0.000335499
a_subj(lv).764    1.03031    0.0188056   0.994352    1.01776    1.02999    1.04258    1.06846  0.000380805
a_subj(lv).765    1.25435    0.0221086    1.21154    1.23911    1.25432    1.26896    1.29761  0.000529771
a_subj(lv).766    1.05224    0.0194302    1.01514    1.03894      1.052    1.06533     1.0916  0.000410304
a_subj(lv).767    1.14051    0.0211843    1.09815    1.12617    1.14047    1.15459    1.18212  0.000487247
a_subj(lv).768     1.0676    0.0186702    1.03085    1.05467    1.06791    1.07996    1.10554  0.000341771
a_subj(lv).769    1.06119    0.0191716    1.02492    1.04776    1.06073    1.07439    1.09942  0.000471122
a_subj(lv).770   0.966289      0.01835    0.93108   0.954104   0.965665   0.978237    1.00329  0.000372649
a_subj(lv).771    1.01786    0.0182265   0.983009    1.00524    1.01752    1.03012     1.0548  0.000336686
a_subj(lv).772    1.03899    0.0182129    1.00333     1.0266    1.03914    1.05079    1.07642  0.000356774
a_subj(lv).773    1.02186    0.0182164   0.987421    1.00941    1.02162    1.03431    1.05752  0.000431898
a_subj(lv).774    1.03335    0.0190057    0.99588    1.02071    1.03279    1.04606    1.07271  0.000439322
a_subj(lv).775    1.03677    0.0173779     1.0036    1.02485    1.03654    1.04859    1.07136  0.000326001
a_subj(lv).776    1.06285    0.0195827     1.0234    1.05033    1.06284    1.07564    1.10051  0.000415353
a_subj(lv).777    1.06258    0.0197052    1.02269    1.04939    1.06283    1.07592    1.10151  0.000428184
a_subj(lv).778    1.06167     0.019824    1.02253    1.04837    1.06115    1.07589    1.10028  0.000399112
a_subj(lv).779    1.03849    0.0186533    1.00414    1.02585    1.03853    1.05058    1.07566  0.000359998
a_subj(lv).780    1.01985    0.0183944   0.984988    1.00777    1.01946    1.03167    1.05728  0.000367317
a_subj(lv).781   0.819148    0.0147249   0.789053   0.809654   0.818716   0.829197   0.848372  0.000311775
a_subj(lv).782    1.10473    0.0189788    1.06948    1.09215    1.10462    1.11699    1.14383  0.000349815
a_subj(lv).783   0.937042    0.0161623   0.906102    0.92621   0.936784   0.947863    0.96982  0.000346253
a_subj(lv).784    1.06483    0.0188023     1.0285    1.05194    1.06502     1.0773    1.10198  0.000391571
v                 1.15121     0.163029   0.816481    1.04496    1.15232    1.25687    1.48233     0.003256
v_std            0.787285     0.126541   0.581336   0.700976   0.772282   0.859213    1.07012   0.00322054
v_subj.761         2.5198    0.0724182    2.38266    2.46925    2.51985    2.56971    2.65804   0.00265679
v_subj.762        1.37411    0.0631209    1.24541    1.33404    1.37543    1.41705     1.4968   0.00214029
v_subj.763       0.383547    0.0529231   0.279518   0.347972   0.384781   0.420661   0.486039   0.00147639
v_subj.764        0.64378    0.0575836   0.533176    0.60465   0.643701   0.681927     0.7606   0.00170425
v_subj.765        1.58669    0.0555589    1.48168    1.54715    1.58688     1.6253     1.6943    0.0019043
v_subj.766        1.64005    0.0637789    1.51905    1.59577    1.64066     1.6828     1.7619   0.00197225
v_subj.767        1.23346    0.0530888    1.13081    1.19773    1.23377    1.26837     1.3412   0.00174754
v_subj.768       0.101657    0.0475062  0.0112993   0.068993   0.100886   0.134512   0.195235   0.00144776
v_subj.769        1.21265     0.059608     1.0984    1.17281     1.2121    1.25238    1.32933   0.00181594
v_subj.770        1.41589    0.0642996    1.29138    1.37111    1.41555    1.45989     1.5395   0.00235149
v_subj.771      0.0224912    0.0589266 -0.0913184 -0.0156281  0.0225096  0.0616018   0.140133   0.00172115
v_subj.772     -0.0546374    0.0545089   -0.15901  -0.092868 -0.0558744 -0.0161528  0.0502783   0.00174952
v_subj.773        2.20383    0.0722112    2.05606    2.15785    2.20209    2.25271    2.34366   0.00259799
v_subj.774        1.21361    0.0611472     1.0985    1.17216    1.21254    1.25484    1.33366   0.00210234
v_subj.775      -0.010882    0.0539749  -0.121123 -0.0459714 -0.0101857  0.0255455  0.0923237   0.00156127
v_subj.776         1.2697    0.0550908    1.16153    1.23184    1.27027    1.30825    1.37569   0.00179151
v_subj.777        2.00643    0.0682165    1.87062    1.95993    2.00766    2.05285    2.13862   0.00272864
v_subj.778       0.858826    0.0529169   0.756994   0.823303   0.857894   0.892863   0.964892   0.00153213
v_subj.779         1.2576    0.0555309    1.14915     1.2202    1.25729     1.2962     1.3684   0.00175421
v_subj.780        1.65281    0.0670628      1.522    1.60814    1.65054    1.69814    1.78099   0.00180617
v_subj.781        1.82335    0.0713395    1.68384    1.77388    1.82293    1.87261    1.96163   0.00231926
v_subj.782       0.995728    0.0564264   0.885154   0.958638   0.995061    1.03404    1.10535   0.00175118
v_subj.783         2.0149     0.070834    1.87857    1.96632    2.01439    2.06331    2.15175   0.00224554
v_subj.784        0.27358    0.0491878   0.181089   0.239226   0.272205   0.307999   0.368365   0.00131016
t                0.115558   0.00534283   0.105455   0.111927   0.115379   0.119048    0.12647  0.000110906
t_std           0.0252802   0.00423425  0.0185467  0.0222696    0.02475  0.0277904  0.0349857  0.000107734
t_subj.761       0.152517  0.000318682   0.151834   0.152314   0.152544   0.152746   0.153064  6.87693e-06
t_subj.762       0.138518   0.00041403   0.137654   0.138257   0.138547   0.138812   0.139235  9.46384e-06
t_subj.763      0.0957811  0.000687056  0.0944228  0.0953207   0.095814  0.0962571   0.097064  1.32659e-05
t_subj.764      0.0963584  0.000669445  0.0949955  0.0959219  0.0963641  0.0968292  0.0976296  1.46669e-05
t_subj.765       0.118518  0.000504129   0.117452    0.11819   0.118556   0.118867   0.119399  1.14515e-05
t_subj.766      0.0981401  0.000361102  0.0973406  0.0979197  0.0981624  0.0983987  0.0987842   7.7425e-06
t_subj.767      0.0953016  0.000619919   0.094013  0.0948962  0.0953447  0.0957331  0.0964452  1.51078e-05
t_subj.768      0.0874716   0.00104316  0.0853857  0.0867988  0.0875366  0.0881642  0.0894661  2.46735e-05
t_subj.769      0.0986869  0.000522196  0.0975755  0.0983455  0.0987174  0.0990572   0.099634  1.22672e-05
t_subj.770        0.12263  0.000425142   0.121749   0.122345   0.122653    0.12293   0.123402  9.20801e-06
t_subj.771      0.0966802  0.000425572  0.0958275  0.0963984  0.0966922  0.0969825  0.0974681  9.18768e-06
t_subj.772      0.0942958  0.000683263  0.0928708  0.0938326  0.0943232  0.0947822   0.095555  1.52737e-05
t_subj.773       0.126654  0.000304259   0.126004   0.126456   0.126675   0.126862   0.127183   5.7908e-06
t_subj.774       0.107993  0.000422183   0.107093   0.107724   0.108008   0.108286    0.10877  1.04947e-05
t_subj.775      0.0949599  0.000715581  0.0935056  0.0944932  0.0949889  0.0954703  0.0962996  1.54613e-05
