                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(hv).8      0.470599     0.110477     0.254304     0.399451     0.467226     0.543656     0.683135   0.00256294
v_subj(hv).9      0.638336     0.129754     0.392921     0.549937      0.63426     0.725692     0.888324    0.0028326
v_subj(hv).10     0.245748     0.107869    0.0319121     0.174675     0.243229     0.316977      0.46304   0.00206778
v_subj(hv).11     0.757161     0.144504       0.4808     0.658967     0.758663     0.856788      1.03909   0.00303221
v_subj(hv).12    0.0427866     0.156493    -0.255993   -0.0578289    0.0398734     0.143332     0.360842   0.00341045
v_subj(hv).13     0.336893    0.0992375     0.142356     0.269755     0.339626     0.403554     0.534369   0.00204356
v_subj(hv).14    0.0984692     0.172303    -0.232774   -0.0164089    0.0981844      0.21088     0.442096   0.00386395
v_subj(hv).15     0.489737     0.136768     0.213599     0.397863     0.491935     0.584848     0.750714   0.00271607
v_subj(hv).16   -0.0884642     0.117374    -0.322253    -0.163266   -0.0859825   -0.0135735     0.144864   0.00291005
v_subj(hv).17     0.469913    0.0837681     0.301836     0.414276     0.470412     0.525415     0.635528   0.00200221
v_subj(hv).18      0.52815    0.0963664     0.335474     0.466209     0.527697     0.592062     0.715975   0.00236643
v_subj(hv).19     0.505865     0.137885     0.234491     0.413374     0.508617     0.599503     0.772781   0.00335156
v_subj(hv).20     0.576736     0.106507     0.366991     0.504038     0.576885     0.648465     0.786196   0.00272214
v_subj(hv).21     0.112359     0.134648    -0.150696    0.0228732     0.112391     0.201869     0.377995   0.00283135
v_subj(hv).22      0.39793     0.122195     0.159163     0.313416     0.400114     0.480357     0.638352   0.00304197
v_subj(hv).23     0.658205     0.104207     0.453244     0.587737     0.657039      0.72922     0.863593   0.00220547
v_subj(lc).0       1.28892     0.115648      1.05857      1.21548      1.28769      1.36585        1.515   0.00247783
v_subj(lc).1       1.68184     0.139771      1.40179      1.58414      1.68074      1.77297      1.95486   0.00315268
v_subj(lc).2       1.18614     0.104811     0.980776      1.11652      1.18552       1.2559      1.39204   0.00255086
v_subj(lc).3       1.15894    0.0826604     0.999627      1.10338       1.1599      1.21616      1.32058   0.00172843
v_subj(lc).4       2.15282     0.159585      1.84105      2.04539      2.14976      2.25999      2.45749   0.00388971
v_subj(lc).5       1.53835     0.131572      1.27922      1.45373       1.5338      1.62777      1.81084   0.00284868
v_subj(lc).6       1.90448     0.173919      1.56745      1.78735      1.90253      2.02021      2.24347   0.00396676
v_subj(lc).7       2.11006     0.178681      1.76005      1.98918      2.10972      2.23418      2.46214   0.00383527
v_subj(lc).8       1.88878     0.117504      1.66496      1.80764      1.88835      1.97211      2.11413   0.00256802
v_subj(lc).9       1.54335      0.13531      1.26581      1.45631      1.54583      1.63227      1.81187   0.00300549
v_subj(lc).10      1.07808     0.111863     0.857841      1.00482      1.07721      1.15262      1.29309   0.00275669
v_subj(lc).11      1.95548     0.167753       1.6359      1.84046      1.95656      2.06303       2.2985   0.00357545
v_subj(lc).12      2.08192     0.181738      1.73788      1.95983      2.08045      2.20656      2.45428   0.00486583
v_subj(lc).13      1.14231    0.0984524     0.948238      1.07889      1.14288       1.2053      1.34227   0.00216814
v_subj(lc).14      2.01054     0.186316      1.64573      1.88949       2.0099       2.1369      2.37583   0.00424265
v_subj(lc).15      1.65929     0.150086      1.35579       1.5606      1.66375       1.7634      1.94844   0.00317225
v_subj(lc).16      1.11826     0.116503     0.889368      1.03989      1.12022      1.20246      1.33528   0.00258655
v_subj(lc).17      1.50386    0.0823418      1.33443      1.45086      1.50349       1.5583      1.66486   0.00221874
v_subj(lc).18      1.00518    0.0971037     0.813587     0.940785      1.00517      1.06941      1.19965   0.00229641
v_subj(lc).19      1.53793     0.141191      1.26122      1.44186      1.53759      1.63855      1.81128   0.00315534
v_subj(lc).20      1.01812     0.103599      0.81003     0.951829       1.0187       1.0919      1.21365   0.00232797
v_subj(lc).21      1.72403     0.146136      1.43956      1.62854       1.7209      1.82203      2.00799    0.0034653
v_subj(lc).22      1.36704     0.127202       1.1186      1.28143      1.36808      1.45279      1.61819   0.00264652
v_subj(lc).23      1.76719     0.117435      1.53368       1.6882      1.77166      1.84399      1.99536   0.00306008
v_subj(lv).0       1.34191     0.118724      1.10784      1.26313      1.34239      1.41953      1.58465   0.00268513
v_subj(lv).1       2.02308     0.140894      1.75403      1.92371      2.02147      2.11863      2.30026   0.00336439
v_subj(lv).2       1.15979     0.102043     0.961148      1.09396      1.15764      1.22692      1.35607   0.00236259
v_subj(lv).3       1.28516    0.0885488      1.10669      1.22769      1.28546      1.34482        1.453   0.00238345
v_subj(lv).4       1.68838     0.148473       1.3869      1.59264      1.68417      1.78776      1.98886   0.00330517
v_subj(lv).5       1.38739     0.126197      1.14037      1.30048      1.38953      1.47506      1.63259   0.00284503
v_subj(lv).6       2.10439      0.16736      1.78036      1.99026      2.10418       2.2198      2.43059   0.00378009
v_subj(lv).7       1.35624     0.172744      1.01953      1.24115      1.35728      1.47564      1.69206   0.00386576
v_subj(lv).8        1.7101     0.122759      1.45794      1.62993      1.70979      1.78916      1.95363   0.00271908
v_subj(lv).9       1.26827     0.135871      1.00538      1.17251       1.2727      1.36455      1.53333   0.00298155
v_subj(lv).10      1.10174     0.118918     0.876715      1.02114      1.10243      1.18083      1.33419   0.00242038
v_subj(lv).11      2.32467      0.18355      1.95902      2.20031       2.3264      2.44708      2.67526   0.00470935
