                     mean          std       2.5q         25q        50q        75q      97.5q       mc err
v_subj(hv).768   0.258886    0.0979203  0.0712361    0.191362   0.260111   0.326258   0.453087   0.00259305
v_subj(hv).769    1.07605     0.120832   0.836468    0.995818    1.07594    1.16032    1.30348    0.0038885
v_subj(hv).770   0.329264     0.112079   0.113954    0.252575   0.327414   0.405001   0.550773   0.00305547
v_subj(hv).771  0.0668156     0.110513  -0.154331 -0.00607303   0.069522   0.142804   0.279495   0.00298765
v_subj(hv).772 -0.0165417     0.107351  -0.226007  -0.0918814 -0.0159108  0.0585166   0.187105   0.00350321
v_subj(hv).773    1.52661     0.144932    1.26066      1.4245    1.52251    1.62723    1.82139   0.00485458
v_subj(hv).774   0.697798     0.121439   0.462376    0.614183   0.697264   0.780695   0.935669   0.00375736
v_subj(hv).775 -0.0915423     0.117073  -0.324634   -0.167964 -0.0945376 -0.0113869   0.140484   0.00337141
v_subj(hv).776   0.912768     0.103655   0.708472    0.842608   0.911797   0.982989    1.10845   0.00301469
v_subj(hv).777    1.36374     0.132775    1.10047     1.27465    1.36843    1.45246    1.62078   0.00408526
v_subj(hv).778  -0.201414    0.0834569  -0.363013    -0.25692  -0.202066  -0.144391 -0.0392534   0.00212272
v_subj(hv).779    1.41443     0.125456    1.17101       1.328    1.41382    1.49831    1.66331   0.00400716
v_subj(hv).780    1.96724     0.149018    1.67203     1.86798     1.9692    2.06477    2.26461   0.00504558
v_subj(hv).781     1.8131     0.163007    1.49763     1.70676    1.81133    1.92407    2.13443   0.00513925
v_subj(hv).782   0.664739     0.109832   0.450627    0.589899   0.660935   0.736622   0.884122   0.00317844
v_subj(hv).783    2.04675     0.140022    1.76866     1.95091    2.04687    2.14206     2.3264   0.00428168
v_subj(hv).784   0.261363     0.094504  0.0741832     0.19724   0.262203   0.323975   0.447882   0.00281094
v_subj(lc).761    3.30163     0.165195    2.96434     3.19674    3.29897    3.40926    3.63221    0.0055356
v_subj(lc).762    2.24807     0.140584     1.9718     2.15486     2.2467     2.3421     2.5296   0.00468104
v_subj(lc).763   0.483552     0.108011    0.26773    0.413186   0.486772   0.555329   0.696421    0.0032043
v_subj(lc).764    1.37402     0.117467    1.14389     1.29412    1.37388    1.45486    1.60475   0.00373727
