                      mean          std        2.5q        25q         50q         75q      97.5q       mc err
a_subj(lc).769    0.945851     0.017567    0.910282   0.934342     0.94552    0.957505   0.980423  0.000394625
a_subj(lc).770    0.812085      0.01526     0.78275   0.801766    0.811694      0.8222   0.843611  0.000343173
a_subj(lc).771    0.900345    0.0168428    0.866797   0.888982    0.900536    0.912089   0.933159  0.000360094
a_subj(lc).772    0.955613    0.0188107    0.920016   0.942397    0.955774    0.968357    0.99251  0.000411356
a_subj(lc).773    0.715522    0.0132036    0.690208    0.70661    0.715365    0.724223   0.743408  0.000304169
a_subj(lc).774    0.818171    0.0154004    0.788253   0.807561    0.818044    0.828359    0.84912  0.000356085
a_subj(lc).775    0.997061    0.0183626     0.96249   0.984321    0.996531     1.00939    1.03402  0.000401671
a_subj(lc).776    0.961584      0.01796     0.92521   0.950129    0.961516    0.972723   0.997753    0.0004401
a_subj(lc).777    0.857733    0.0175384    0.823843    0.84587     0.85726    0.869395   0.892537  0.000385943
a_subj(lc).778     1.12217    0.0206296     1.08237    1.10873     1.12106     1.13529    1.16425  0.000471606
a_subj(lc).779      1.0674    0.0207381     1.02811    1.05309     1.06734     1.08114    1.10829  0.000443792
a_subj(lc).780    0.806892    0.0155138    0.777729   0.795948    0.806238    0.817705   0.838312  0.000353807
a_subj(lc).781    0.847719    0.0160855    0.816696   0.836554    0.847576    0.858472    0.87932  0.000348278
a_subj(lc).782     0.98528    0.0188479    0.948727   0.972681     0.98442    0.997604    1.02452  0.000428711
a_subj(lc).783    0.883622    0.0163646     0.85182   0.872213    0.883282    0.895043   0.916334   0.00037151
a_subj(lc).784     1.12445    0.0211567     1.08387    1.11017     1.12474     1.13888    1.16625   0.00044816
a_subj(lv).761    0.870542     0.017292    0.837905   0.858942    0.870235    0.881955   0.904956  0.000406786
a_subj(lv).762    0.898714     0.016551    0.866017   0.887616    0.898698    0.910004   0.931248  0.000356153
a_subj(lv).763    0.958731    0.0178587    0.923974   0.946807     0.95879    0.970195   0.993392  0.000375667
a_subj(lv).764     1.00632    0.0190571    0.970485   0.992972     1.00619     1.01893    1.04419  0.000437014
a_subj(lv).765     1.13213    0.0210482     1.09072    1.11748     1.13188     1.14618    1.17575  0.000526196
a_subj(lv).766    0.933969    0.0179889    0.899099   0.921495    0.933436      0.9461   0.969852  0.000446674
a_subj(lv).767     1.16326    0.0234474     1.11894    1.14704     1.16296     1.17925    1.20919  0.000466313
a_subj(lv).768     1.05642    0.0185186     1.01955     1.0438     1.05639     1.06904    1.09096  0.000437423
a_subj(lv).769     1.03191    0.0192996    0.994359    1.01867     1.03168     1.04453     1.0706  0.000473691
a_subj(lv).770    0.706252    0.0128497    0.681554   0.697564    0.705885    0.714886    0.73177  0.000318022
a_subj(lv).771    0.951363    0.0182608    0.916755    0.93927    0.950958    0.964013   0.988278  0.000412668
a_subj(lv).772     1.03186    0.0183972    0.997331    1.01938     1.03181     1.04424    1.06856  0.000400264
a_subj(lv).773    0.788879    0.0151688    0.759893   0.778463    0.788682     0.79945   0.818162   0.00032587
a_subj(lv).774    0.956034    0.0180554    0.920725   0.943961     0.95635    0.967977   0.992092  0.000390359
a_subj(lv).775     1.00535    0.0181297    0.971228    0.99272     1.00521      1.0172    1.04038  0.000411406
a_subj(lv).776     1.01966    0.0191869    0.982782    1.00647     1.01925     1.03321    1.05698  0.000387792
a_subj(lv).777    0.810884    0.0158671    0.780185   0.799859     0.81064    0.821392   0.843264  0.000430275
a_subj(lv).778     1.00945    0.0198815    0.969415   0.996659     1.00972     1.02229    1.04896  0.000493073
a_subj(lv).779    0.950768    0.0179895     0.91623   0.938945    0.950216    0.962774   0.988404  0.000444765
a_subj(lv).780    0.913917    0.0167321    0.882825   0.902378    0.913475    0.925372   0.946393   0.00036937
a_subj(lv).781    0.790905    0.0148422    0.763006   0.780919    0.790333    0.800739   0.821168  0.000326216
a_subj(lv).782    0.984557     0.017386    0.950678   0.973083    0.984058    0.996007    1.01967  0.000439256
a_subj(lv).783    0.863348    0.0155169    0.833386   0.852922    0.862945    0.873249   0.894944  0.000354957
a_subj(lv).784    0.976957    0.0185864      0.9418   0.964507     0.97638    0.989478     1.0138  0.000452859
v                  1.11693     0.157556    0.810957    1.01145     1.11726     1.22268    1.42308   0.00311994
v_std             0.752744     0.118478    0.562744   0.667791    0.739424     0.82221    1.03546    0.0026012
v_subj.761         2.43374    0.0764847     2.28549    2.38108     2.43453     2.48437      2.593   0.00256506
v_subj.762         1.32148    0.0614445     1.20277     1.2814     1.32019     1.36381     1.4452    0.0018526
v_subj.763        0.349872    0.0522994    0.245404   0.314775    0.350227    0.385084    0.45606   0.00165737
v_subj.764        0.630215    0.0553079    0.523822   0.592526    0.630723    0.668272   0.734949   0.00163343
v_subj.765         1.54877    0.0556551     1.43683    1.51269     1.54749     1.58623    1.65473   0.00169515
v_subj.766         1.59807    0.0637998     1.46897    1.55535     1.59799     1.64248    1.72045   0.00209491
v_subj.767         1.11145    0.0576244    0.999886     1.0716      1.1114     1.14933    1.22557   0.00181757
v_subj.768        0.107492    0.0489977  0.00694108   0.076019    0.107486    0.138618   0.206066   0.00146487
v_subj.769         1.24051    0.0607345     1.12358    1.19791     1.23968      1.2805    1.36172   0.00200147
v_subj.770          1.3511    0.0704484      1.2128    1.30277     1.35147     1.39969     1.4899   0.00241788
v_subj.771     -0.00498992    0.0622252   -0.126767 -0.0470375 -0.00497317   0.0361371   0.116051   0.00203413
v_subj.772      -0.0469948    0.0550867   -0.156635 -0.0826209  -0.0472165 -0.00993829  0.0595416   0.00163619
v_subj.773         1.97836    0.0765908     1.82523    1.92526     1.97975     2.02904    2.12468   0.00278619
v_subj.774         1.18662    0.0632976     1.06559    1.14429     1.18543     1.22749    1.31101   0.00198355
v_subj.775     -0.00741321    0.0550184   -0.116343 -0.0440355 -0.00658001   0.0285483  0.0988758   0.00161891
v_subj.776         1.23978    0.0570915     1.12689    1.20265     1.23941     1.27953     1.3485   0.00172595
v_subj.777         1.92177    0.0711987     1.77699    1.87517     1.92155      1.9688    2.06206   0.00225481
v_subj.778         0.87036    0.0508624    0.771722   0.834308    0.870609    0.904426    0.97088   0.00146222
v_subj.779         1.23386    0.0611902     1.11283    1.19346     1.23554     1.27507    1.35608   0.00197278
v_subj.780         1.55183    0.0674601     1.42244    1.50608     1.55111     1.59651    1.68567   0.00203954
v_subj.781          1.8144      0.07717     1.66409    1.76293      1.8139     1.86524    1.97114    0.0022687
v_subj.782        0.990282    0.0607766    0.868025   0.951168    0.991913      1.0325    1.10226   0.00197453
v_subj.783          2.0299    0.0714906     1.88432    1.98254     2.02973     2.07812    2.16964    0.0021671
v_subj.784        0.313928    0.0515957      0.2109   0.279891    0.314338    0.348165   0.415592   0.00141685
t(hc)             0.128304   0.00685641    0.115087   0.123683    0.128181    0.132741   0.142337   0.00013102
t(hv)             0.131728   0.00684332    0.118205   0.127233    0.131846    0.136192   0.145343  0.000146438
t(lc)             0.139675   0.00713614    0.125358   0.134944    0.139747    0.144251   0.153984  0.000149177
t(lv)             0.136751   0.00708469    0.122859   0.131913    0.136757    0.141283   0.150486  0.000167299
t_std            0.0362678   0.00299627   0.0307604  0.0342154   0.0361203   0.0380757  0.0425004  7.94597e-05
t_subj(hc).761    0.178544   0.00080067    0.176859   0.178011    0.178604    0.179143   0.179911  1.80501e-05
t_subj(hc).762     0.17452   0.00158687    0.171049   0.173538    0.174668    0.175641   0.177259  4.18976e-05
t_subj(hc).763    0.113824   0.00141693    0.110732   0.112977    0.113931    0.114818   0.116331  3.24372e-05
t_subj(hc).764   0.0935218   0.00156776    0.090084  0.0925557   0.0936102    0.094592  0.0963909  4.17872e-05
t_subj(hc).765    0.126308   0.00152596    0.123095   0.125275    0.126389    0.127398   0.129059  3.66744e-05
t_subj(hc).766    0.117899   0.00123867    0.115167    0.11712    0.117994     0.11877    0.12006  3.21966e-05
t_subj(hc).767    0.114237   0.00184402    0.110297   0.113061    0.114375    0.115573   0.117398  4.86034e-05
t_subj(hc).768   0.0801469   0.00240115   0.0752992  0.0785517   0.0802183   0.0818598  0.0845263  6.74108e-05
t_subj(hc).769   0.0939719   0.00143985   0.0907199  0.0930833   0.0940807    0.094975  0.0964965  3.16828e-05
t_subj(hc).770    0.124374  0.000935569    0.122377   0.123762    0.124463    0.125025   0.125999  2.19379e-05
t_subj(hc).771    0.191054  0.000923779    0.189072   0.190488    0.191147    0.191711   0.192616  2.49113e-05
