                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
v_subj(hv).768    0.222928    0.0863364   0.051008   0.164345    0.222296    0.28267   0.393143   0.00220159
v_subj(hv).769     1.09742    0.0990355   0.903605    1.03082     1.09784    1.16004    1.28952    0.0025995
v_subj(hv).770    0.643982    0.0957804   0.456867   0.576401    0.645664   0.708766   0.833172   0.00226719
v_subj(hv).771  -0.0379321    0.0918698  -0.217309 -0.0998558  -0.0392042  0.0245227   0.138378   0.00223681
v_subj(hv).772   -0.119481    0.0926637  -0.301354  -0.183111   -0.117674 -0.0572784   0.061227   0.00212172
v_subj(hv).773     1.68608     0.122031    1.43766    1.60352     1.69171    1.77065    1.91753   0.00327919
v_subj(hv).774    0.837647     0.101027   0.639737    0.76996    0.835372   0.908606    1.03589   0.00253136
v_subj(hv).775   0.0190665    0.0944914  -0.167994 -0.0434879   0.0197549  0.0832477   0.200473   0.00201791
v_subj(hv).776     1.01889    0.0840058   0.851732   0.961974     1.01951    1.07727    1.18191   0.00214744
v_subj(hv).777      1.5156     0.115423    1.29066     1.4414     1.51705    1.59159    1.74726    0.0031207
v_subj(hv).778    0.126895    0.0722032 -0.0117359  0.0778495     0.12898   0.174956    0.26857   0.00169854
v_subj(hv).779     1.45707     0.105753    1.25544    1.38509     1.45697    1.52595     1.6649   0.00240926
v_subj(hv).780      1.9485     0.119653    1.70806    1.86867     1.94952    2.03248    2.17483   0.00341577
v_subj(hv).781     1.89736     0.141033    1.62856    1.79821     1.89761     1.9933    2.17462    0.0037676
v_subj(hv).782    0.769681    0.0944711    0.57791   0.707074    0.770524   0.832749   0.956002   0.00208263
v_subj(hv).783     2.04037     0.121534    1.79811    1.95811     2.04197    2.12426     2.2709   0.00299363
v_subj(hv).784    0.235958    0.0815652  0.0766781   0.179905    0.236223   0.291922   0.392589   0.00203573
v_subj(lc).761     3.33109      0.13751    3.05978    3.23668     3.33329    3.42701    3.59166   0.00327982
v_subj(lc).762      2.3053     0.111011    2.08829    2.23053      2.3043    2.37731    2.52377   0.00280799
v_subj(lc).763    0.508528    0.0894333   0.329509   0.448218    0.509183   0.570605   0.679644   0.00208959
v_subj(lc).764     1.20036     0.100644    1.00802    1.13006     1.19965    1.26681    1.39976   0.00253003
v_subj(lc).765     1.93225    0.0924954    1.74809    1.87075     1.93083    1.99407    2.11694   0.00247248
v_subj(lc).766     2.11447     0.103907    1.91095    2.04486     2.11362    2.18588    2.30684   0.00273016
v_subj(lc).767     2.68546     0.113987    2.46532    2.60735     2.68346    2.76048    2.91898   0.00281259
v_subj(lc).768    0.105829    0.0831051 -0.0567619  0.0468084    0.105176   0.163604   0.270802   0.00219076
v_subj(lc).769     1.74505     0.107967    1.53432    1.67214     1.74571     1.8169     1.9665   0.00293625
v_subj(lc).770     2.59318     0.122737    2.35594     2.5067     2.59115    2.67683    2.84049   0.00324986
v_subj(lc).771   -0.132556     0.105054  -0.340573  -0.203985   -0.131299 -0.0636843  0.0733767   0.00272446
v_subj(lc).772   0.0288914    0.0972607  -0.159813 -0.0390343   0.0273163  0.0965817   0.219751   0.00254811
v_subj(lc).773     3.11734     0.139929    2.84042    3.02512     3.11755    3.20948    3.39672   0.00399916
v_subj(lc).774       2.241     0.123409    1.99702    2.15709     2.23892    2.32304    2.48272   0.00300415
v_subj(lc).775   0.0168723    0.0895346  -0.163482 -0.0429189    0.017942  0.0779853   0.184996   0.00229709
v_subj(lc).776     1.64245     0.104535     1.4417    1.56856     1.63903    1.71577    1.85024    0.0027274
v_subj(lc).777     2.39325     0.119735    2.16613    2.31122     2.39324    2.47406    2.63202   0.00316518
v_subj(lc).778     1.08971    0.0868041   0.922906    1.03234     1.08981     1.1477    1.25807   0.00193626
v_subj(lc).779     1.30437    0.0933035    1.11987    1.24338     1.30616    1.36583     1.4831   0.00226387
v_subj(lc).780      2.7693     0.124189    2.53272    2.68284     2.77007    2.84959    3.01937   0.00332912
v_subj(lc).781     1.65351     0.116317    1.41948    1.57666     1.65276    1.73588    1.88316   0.00303942
v_subj(lc).782     1.63912      0.10012    1.44571    1.57093     1.63954    1.70511    1.83105    0.0024534
