                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a_subj(lc).8      0.875135    0.0187811     0.840415     0.862503     0.874565     0.887117      0.91377  0.000456157
a_subj(lc).9      0.646595    0.0155776     0.617159     0.636087      0.64643     0.656906     0.676793  0.000512821
a_subj(lc).10     0.792328    0.0182054     0.756639       0.7797     0.791936     0.805451     0.827178  0.000595188
a_subj(lc).11     0.503256    0.0119608     0.480274     0.495349     0.502826     0.510867     0.527819  0.000422778
a_subj(lc).12     0.434547   0.00976894     0.416381     0.427721     0.434458     0.441125     0.453795  0.000351269
a_subj(lc).13      0.91455    0.0219244     0.872132     0.899473     0.913799     0.929088     0.959063   0.00065351
a_subj(lc).14     0.476752   0.00983587     0.457934     0.469845     0.476455     0.483399     0.496104  0.000314715
a_subj(lc).15     0.557776     0.013379     0.532906     0.548816     0.557525     0.566212     0.585489  0.000456942
a_subj(lc).16     0.762657    0.0173229     0.731232     0.750801     0.761722     0.773366     0.798553  0.000608503
a_subj(lc).17      1.21131     0.024409       1.1668      1.19456      1.21041      1.22753      1.26086  0.000581215
a_subj(lc).18     0.889535    0.0205014     0.851883     0.875413     0.888851     0.903207     0.933983  0.000645137
a_subj(lc).19     0.605431     0.014104     0.577644     0.595576     0.605312     0.615004     0.634017  0.000453203
a_subj(lc).20     0.834669    0.0199602     0.796576     0.821355     0.834301     0.847762     0.874127  0.000752351
a_subj(lc).21     0.576397    0.0139383     0.551132     0.566408     0.576467     0.585669     0.603939  0.000511027
a_subj(lc).22      0.68744    0.0163274     0.655592     0.676603     0.687038     0.697812     0.721524  0.000633901
a_subj(lc).23     0.962056    0.0222038     0.919454     0.947034     0.962103     0.976408      1.00601  0.000515502
a_subj(lv).0      0.726525    0.0165177     0.696414     0.714724     0.725704     0.737656     0.760041  0.000633571
a_subj(lv).1      0.631142    0.0153655     0.602554     0.620218     0.631242     0.641506       0.6626  0.000477604
a_subj(lv).2      0.881969    0.0198956     0.845466     0.868006     0.880904     0.894707     0.923869  0.000727574
a_subj(lv).3       1.15945    0.0231999      1.11443      1.14414      1.15959      1.17459      1.20482  0.000531583
a_subj(lv).4      0.608917      0.01338     0.582683     0.599822     0.608973     0.617732      0.63551  0.000399145
a_subj(lv).5      0.718512    0.0162748     0.687508     0.707477     0.718221     0.729255     0.752048  0.000496313
a_subj(lv).6      0.534192     0.012585     0.509572     0.525735     0.534109     0.542291     0.559324  0.000405807
a_subj(lv).7      0.463409    0.0101702     0.443132     0.456973     0.463188     0.470023     0.483553  0.000340138
a_subj(lv).8      0.844543     0.018314     0.809514     0.831978     0.844556     0.857214     0.881103  0.000423777
a_subj(lv).9      0.615685    0.0142636     0.588959     0.605856     0.615062     0.625084     0.644078  0.000632981
a_subj(lv).10     0.718511    0.0169182     0.686164      0.70699     0.718352     0.729781       0.7532  0.000615436
a_subj(lv).11     0.462746    0.0112585     0.441295     0.454907     0.462511     0.470287     0.485342  0.000432451
a_subj(lv).12     0.421479   0.00920285     0.404032     0.415066     0.421314     0.427562     0.440321  0.000352854
a_subj(lv).13     0.886079    0.0194613     0.849838     0.872524     0.885838     0.898887     0.926094  0.000675038
a_subj(lv).14     0.499916    0.0108361     0.478247     0.492657     0.499642     0.506911     0.521819  0.000336278
a_subj(lv).15     0.558713    0.0133685     0.532871     0.549996     0.558284     0.567518     0.585716  0.000489346
a_subj(lv).16     0.781756      0.01856     0.747033     0.769372     0.781135      0.79397     0.820338  0.000754394
a_subj(lv).17      1.21267    0.0242337      1.16493       1.1962      1.21248      1.22864       1.2608  0.000485171
a_subj(lv).18      0.89219    0.0217809     0.851432      0.87675     0.892062     0.906973     0.936291  0.000765372
a_subj(lv).19     0.588477    0.0131928     0.563038     0.579384     0.588062      0.59732     0.615307  0.000438277
a_subj(lv).20     0.856571    0.0202147     0.817687      0.84264     0.855922     0.869372     0.897854  0.000741485
a_subj(lv).21     0.595045    0.0135738     0.567889     0.586041     0.594856       0.6042     0.621599   0.00046623
a_subj(lv).22     0.685346    0.0155857     0.655759     0.674588     0.684821     0.695886     0.716642   0.00055488
a_subj(lv).23     0.955613    0.0221065     0.913519     0.940335     0.955976     0.970317     0.999655   0.00051588
v(hc)             0.632129    0.0788351     0.476851     0.579014      0.63423     0.683946     0.786541   0.00170019
v(hv)             0.461412    0.0772893     0.306456     0.410478     0.460149     0.514635     0.615127   0.00171236
v(lc)               1.5222    0.0783821      1.36766       1.4698       1.5214      1.57363       1.6868    0.0017773
v(lv)              1.42335    0.0783119      1.27138      1.37144      1.42457      1.47428      1.57612   0.00169813
v_std             0.355266    0.0322749     0.297514     0.332953     0.353259     0.376075     0.421454  0.000981306
v_subj(hc).0      0.205046     0.116565   -0.0254266     0.127684     0.208013     0.284244     0.432209   0.00250328
v_subj(hc).1      0.850921     0.147557     0.561965     0.752908       0.8491     0.952081      1.13537   0.00385292
v_subj(hc).2      0.376866     0.102348       0.1834     0.307403     0.376402      0.44342     0.589358   0.00267242
v_subj(hc).3      0.919205    0.0855557     0.750456     0.860521     0.920304     0.977883       1.0778    0.0020282
v_subj(hc).4      0.115985     0.141509    -0.162599    0.0199039     0.119101     0.212629     0.395012   0.00313113
v_subj(hc).5      0.553948     0.128656     0.297806      0.46974     0.552017     0.640348     0.810521   0.00279459
v_subj(hc).6      0.876253     0.155023     0.576528     0.767765     0.879316     0.982626      1.18072   0.00366153
v_subj(hc).7      0.957679     0.163255     0.633245     0.845982     0.957012      1.06954      1.28627   0.00322364
v_subj(hc).8       1.25829     0.119279      1.02905      1.17752      1.25783      1.33985      1.50226   0.00266703
v_subj(hc).9      0.608256     0.127763     0.363506     0.518369     0.605899     0.695189     0.860685   0.00302523
