                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(hv).8      0.250917     0.128003   0.00168142     0.162814     0.251675      0.33461     0.497703   0.00348384
v_subj(hv).9      0.693623      0.13926     0.417043     0.599745     0.694984     0.786082     0.972212   0.00349139
v_subj(hv).10     0.243413     0.119434  -0.00530986     0.161682     0.247886      0.32172     0.471385   0.00310222
v_subj(hv).11     0.717893     0.156491     0.396488     0.617049     0.720789     0.825633      1.02876   0.00336183
v_subj(hv).12     0.198058     0.167685    -0.139266    0.0881105     0.198093      0.30865      0.53448   0.00430125
v_subj(hv).13     0.365285     0.112644     0.137498     0.291074      0.36335     0.440928     0.585053   0.00291926
v_subj(hv).14     0.336192     0.173884   0.00250112      0.21782     0.340916     0.455612     0.672085   0.00424972
v_subj(hv).15     0.603717     0.142467      0.32171     0.510942     0.602533     0.704241     0.893876   0.00324561
v_subj(hv).16  -0.00359293     0.124337     -0.25159   -0.0836903  -0.00354643    0.0802617     0.239626   0.00296372
v_subj(hv).17  -0.00385376    0.0993588    -0.193576   -0.0746574  -0.00245289    0.0644794     0.188668   0.00294616
v_subj(hv).18      0.59774     0.105939     0.390186      0.52828     0.598854     0.668405     0.804296   0.00256315
v_subj(hv).19     0.545174     0.154741     0.243347     0.439136     0.542453     0.649393     0.849351   0.00342401
v_subj(hv).20      0.62411     0.116784     0.389842     0.547293     0.625447     0.701782     0.852465   0.00302393
v_subj(hv).21     0.138068     0.149701     -0.16279    0.0401169     0.141094     0.239992     0.420968   0.00368445
v_subj(hv).22     0.476579      0.13146     0.210662     0.388451     0.475461     0.565745     0.738618   0.00284736
v_subj(hv).23     0.412431      0.12678     0.170818     0.325925      0.40633     0.499233     0.667039   0.00378957
v_subj(lc).0       1.25137     0.128163     0.994566      1.17122      1.25129      1.33409       1.5072   0.00340571
v_subj(lc).1       1.63843     0.167916      1.30462      1.53037      1.63741       1.7492       1.9723   0.00436333
v_subj(lc).2       1.00325     0.120379     0.760976     0.922923      1.00457      1.08523      1.23134   0.00343226
v_subj(lc).3       1.10201     0.094413     0.918215      1.03916      1.10352      1.16781      1.27886   0.00252726
v_subj(lc).4       2.12144     0.181735      1.76242      1.99727      2.12113      2.24295      2.48319   0.00470052
v_subj(lc).5       1.54418     0.145269      1.26488      1.44231      1.54128        1.644      1.83501   0.00390686
v_subj(lc).6       1.90582     0.184441      1.54315      1.78255      1.90772      2.02948      2.26528   0.00488327
v_subj(lc).7        2.1114     0.205526      1.71307      1.97955      2.10153      2.24631      2.53165   0.00540193
v_subj(lc).8       1.98982     0.138051      1.71376      1.90107      1.99269      2.08134      2.25411   0.00431477
v_subj(lc).9       1.52739     0.144847      1.25052      1.43192      1.52912      1.62082      1.81682   0.00332587
v_subj(lc).10      1.02437     0.123788     0.777225     0.942887      1.02237      1.10803      1.27319   0.00324439
v_subj(lc).11      1.78269     0.182371      1.43173      1.66382      1.77964       1.9069      2.14303    0.0042548
v_subj(lc).12      1.87839      0.19757      1.49766        1.742      1.88132      2.00837      2.27015   0.00428985
v_subj(lc).13      1.09613     0.109874     0.871384      1.02459      1.10078      1.17034      1.31153   0.00261667
v_subj(lc).14      1.91531      0.20683      1.52128      1.77467       1.9162      2.05656      2.32017   0.00494858
v_subj(lc).15      1.69223     0.162785      1.37343      1.58356      1.69292      1.80722      2.01471   0.00411729
v_subj(lc).16      1.11954     0.125443     0.866346      1.03511      1.12345      1.20304      1.36111   0.00325671
v_subj(lc).17      1.48768    0.0996721      1.29154      1.42228      1.48648      1.55581      1.68981   0.00299236
v_subj(lc).18     0.952139      0.11095     0.732004     0.877483     0.950919      1.02558      1.17107   0.00288902
v_subj(lc).19      1.42428     0.159341      1.11769      1.31666      1.42304      1.53065      1.74265   0.00347905
v_subj(lc).20      1.03248     0.117512     0.800328     0.956301      1.03349      1.10828      1.26415   0.00298662
v_subj(lc).21      1.64538     0.163333      1.33332       1.5381       1.6452       1.7578      1.97098   0.00450597
v_subj(lc).22      1.27701      0.13697      1.00831      1.18875      1.27821      1.36455      1.55262   0.00335532
v_subj(lc).23      1.93713     0.136156      1.67307      1.84293      1.93554      2.03123      2.19926   0.00435528
v_subj(lv).0       1.27685     0.137125      1.01287      1.18164       1.2761      1.37228      1.54325   0.00339064
v_subj(lv).1       1.76677     0.162642      1.44207      1.65952      1.77104      1.87555      2.07979   0.00455833
v_subj(lv).2       1.06165     0.119065     0.835407     0.979815      1.05921      1.14557       1.2883   0.00349877
v_subj(lv).3       1.17677      0.10198     0.972167      1.10979      1.17938      1.24673      1.36989   0.00285685
v_subj(lv).4       1.46412     0.170009      1.13051      1.34909      1.45911      1.58263      1.79159   0.00435688
v_subj(lv).5       1.30018     0.142587       1.0184      1.20412      1.29906      1.39554      1.57966   0.00360026
v_subj(lv).6       1.95618     0.190137      1.57802      1.82495      1.96057      2.08519       2.3332   0.00516793
v_subj(lv).7       1.24147     0.181195     0.877858      1.12445      1.24397      1.36376      1.58776   0.00422482
v_subj(lv).8       1.74007     0.145375      1.45817      1.63852      1.74077      1.84103      2.01565   0.00470691
v_subj(lv).9       1.21044     0.143495      0.92686      1.11194      1.21316      1.30299      1.49836   0.00372012
v_subj(lv).10     0.972653     0.134548     0.711825     0.883582     0.969229      1.06221      1.23998    0.0032947
v_subj(lv).11      2.28163     0.193162      1.90328      2.15232      2.27667      2.41425      2.66051   0.00576899
v_subj(lv).12      1.67905     0.200425      1.28915      1.54392      1.68008      1.81788      2.06656    0.0053857
v_subj(lv).13     0.818913     0.111052     0.593002     0.747504     0.820416     0.893093      1.03202   0.00263143
