                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a_subj(lc).8       0.87597    0.0178702     0.840886     0.864049     0.875981     0.887675     0.911731  0.000446031
a_subj(lc).9      0.655829    0.0119804     0.631927     0.647852     0.655866     0.663867     0.678496  0.000364156
a_subj(lc).10     0.793164    0.0141959     0.765516     0.783492     0.793021     0.802799     0.820596  0.000441682
a_subj(lc).11     0.521366   0.00990771     0.502552     0.514415     0.521214     0.528127     0.541688   0.00024268
a_subj(lc).12     0.457526    0.0086606      0.44083     0.451808     0.457461     0.463231     0.474816  0.000247951
a_subj(lc).13     0.911715    0.0168592     0.880067     0.900048     0.911369     0.922639     0.945248  0.000487872
a_subj(lc).14     0.484391   0.00917941     0.466667     0.478147     0.484232     0.490411     0.502707  0.000230301
a_subj(lc).15     0.584845     0.010961      0.56358     0.577148     0.584837     0.592236     0.606113  0.000307156
a_subj(lc).16     0.769017    0.0139384     0.742453     0.759481     0.768731     0.778234     0.797175  0.000395191
a_subj(lc).17      1.21222    0.0246667      1.16536      1.19533      1.21142       1.2288      1.26171  0.000585124
a_subj(lc).18     0.900385    0.0168585     0.866793     0.888822     0.900261     0.911774     0.934616  0.000525384
a_subj(lc).19     0.615435     0.011155     0.593282     0.607742      0.61564     0.622788     0.637009  0.000309922
a_subj(lc).20     0.839352    0.0146594     0.811366     0.828866     0.839082     0.849005     0.869073  0.000449229
a_subj(lc).21     0.591717    0.0111816     0.570501     0.583974     0.591643     0.598971     0.614784  0.000297964
a_subj(lc).22     0.697079     0.012999      0.67279     0.688037     0.696732     0.705926     0.723123  0.000333052
a_subj(lc).23     0.962297    0.0204484     0.923773     0.948681     0.961907     0.975321       1.0022  0.000516559
a_subj(lv).0      0.747379    0.0138748     0.721949     0.738045     0.747188     0.756542     0.775344  0.000413979
a_subj(lv).1      0.582189    0.0113848     0.560817     0.574112     0.582159     0.589881     0.604554  0.000318967
a_subj(lv).2      0.852234    0.0161406      0.82051      0.84143     0.851581     0.863366     0.884914  0.000452992
a_subj(lv).3       1.15801    0.0236174       1.1118      1.14165      1.15793      1.17336      1.20467  0.000574126
a_subj(lv).4      0.566458    0.0109938     0.545256     0.558891     0.566456     0.573907     0.587718    0.0002858
a_subj(lv).5      0.683098    0.0129417     0.657661     0.674597      0.68306     0.691363      0.71004  0.000351303
a_subj(lv).6      0.480452   0.00915577     0.463496     0.473903      0.48058      0.48687     0.499018  0.000274719
