                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_subj(hv).8      0.246253     0.133165   -0.0159961     0.153316     0.248668     0.342189     0.502025   0.00373974
v_subj(hv).9      0.695508     0.135754     0.421727     0.601521      0.69709     0.790284     0.954617   0.00299447
v_subj(hv).10     0.243188     0.119445    0.0146573     0.160683     0.244797     0.324233     0.478228   0.00286845
v_subj(hv).11     0.717292     0.161647     0.398362      0.60542     0.714998     0.830124      1.02913   0.00409875
v_subj(hv).12      0.21121     0.167817    -0.122585    0.0930419     0.213043     0.326141     0.546647   0.00367121
v_subj(hv).13     0.372972     0.106555     0.168474       0.3013     0.371338     0.443988     0.584766   0.00263422
v_subj(hv).14      0.26223     0.182833   -0.0815776     0.135019     0.261277     0.384487     0.636814   0.00462222
v_subj(hv).15     0.611041     0.143902     0.326087     0.516223       0.6084     0.713302     0.887137   0.00312462
v_subj(hv).16    0.0114189      0.12317    -0.227057   -0.0717275    0.0118434     0.096438     0.249586   0.00299965
v_subj(hv).17  -0.00953607     0.100091    -0.208544   -0.0769031  -0.00984419    0.0575218     0.191087   0.00291586
v_subj(hv).18     0.596245     0.102312     0.387963     0.528908     0.599267     0.661861     0.802635   0.00259774
v_subj(hv).19     0.548386      0.14578     0.265989     0.446513     0.548404     0.644641     0.834187   0.00353913
v_subj(hv).20     0.637493     0.114007     0.412972     0.560901     0.638084     0.714212     0.858412   0.00293947
v_subj(hv).21      0.15278     0.150395    -0.142263    0.0515463     0.153639     0.257539     0.442453   0.00342901
v_subj(hv).22       0.4814     0.135427      0.21661      0.39015     0.479518     0.573939     0.740006   0.00313483
v_subj(hv).23     0.402571     0.130009     0.146967     0.315614     0.404164     0.490579     0.657505   0.00387257
v_subj(lc).0       1.22854      0.12223     0.985269      1.14454      1.22845      1.31303      1.46044   0.00312277
v_subj(lc).1       1.61588     0.168195      1.29142      1.50095      1.61558      1.73423      1.94901   0.00489975
v_subj(lc).2       1.01629     0.116922     0.781759     0.937499      1.01871      1.09693      1.24707   0.00318901
v_subj(lc).3       1.09695    0.0986733     0.910291      1.02661      1.09483      1.16602      1.29098   0.00275385
v_subj(lc).4       1.96359     0.189547        1.612      1.83351      1.96254      2.09312      2.33274   0.00534488
v_subj(lc).5       1.52029     0.142898      1.24384      1.42064      1.51647      1.61764      1.79951   0.00390795
v_subj(lc).6       1.68626     0.194167      1.30784      1.55516      1.68388      1.81838      2.06054   0.00500331
v_subj(lc).7       2.05497     0.202826      1.65434      1.91941      2.05294      2.19134       2.4573   0.00636816
v_subj(lc).8       1.98139       0.1423      1.70188      1.88584      1.98612      2.07796      2.25852    0.0045761
v_subj(lc).9       1.51249      0.14682      1.21596      1.41315      1.51384      1.61317      1.80664   0.00427433
v_subj(lc).10      1.00783     0.123423     0.767548     0.924951      1.00391      1.09101      1.25033   0.00354483
v_subj(lc).11       1.7141     0.189796      1.34735      1.58287      1.70802      1.83996       2.1046   0.00449462
v_subj(lc).12      1.81083      0.20059      1.42195      1.67828      1.80598      1.94609      2.21078   0.00597436
v_subj(lc).13      1.07093     0.113987     0.845947     0.990649      1.06955      1.14875      1.29801   0.00323678
v_subj(lc).14      1.79882     0.208477      1.39109      1.65997       1.7948      1.94297      2.20264   0.00556382
v_subj(lc).15       1.6705      0.16615      1.33873      1.55785      1.66801      1.78183      2.00556   0.00491546
v_subj(lc).16      1.11483     0.126366     0.860725      1.02732      1.11756      1.19933      1.35599   0.00324493
v_subj(lc).17      1.48613    0.0979142       1.2982      1.41988      1.48708      1.55365      1.68203   0.00272843
v_subj(lc).18      0.95941     0.111529     0.741425     0.883696     0.958583      1.03732      1.17543   0.00296667
v_subj(lc).19      1.38512     0.161685      1.06356      1.27965      1.38147      1.49463      1.69837   0.00436706
v_subj(lc).20      1.04242      0.11696     0.821376     0.960985      1.04248      1.12191      1.27593   0.00339413
v_subj(lc).21      1.61401     0.162322      1.29694      1.50421      1.61074      1.72412      1.93774   0.00494178
v_subj(lc).22      1.25799     0.137911     0.996199       1.1627      1.25729      1.35401      1.52656    0.0039329
v_subj(lc).23      1.92039     0.132751      1.66872      1.83026      1.91544      2.00984       2.1774   0.00366417
v_subj(lv).0       1.28801     0.131383      1.02396      1.20051       1.2879       1.3746      1.53636   0.00348456
v_subj(lv).1       1.89053     0.158284      1.58809      1.78382      1.88589       1.9954      2.20268   0.00450477
v_subj(lv).2       1.11635     0.116106     0.883596       1.0364      1.11513      1.19718       1.3467   0.00291052
v_subj(lv).3       1.17904      0.10152     0.985228      1.11337       1.1801      1.24787      1.37882   0.00298009
v_subj(lv).4       1.64303     0.165641      1.29933      1.53644      1.64402      1.75279      1.96451   0.00440882
v_subj(lv).5       1.37398     0.136722      1.10995      1.28161      1.37373      1.46661      1.65226   0.00347419
v_subj(lv).6       2.11289     0.183183      1.75238      1.98869      2.10603      2.23623      2.47208   0.00549695
v_subj(lv).7       1.24734     0.187741     0.874628      1.12288      1.24951      1.37646      1.60194   0.00488755
v_subj(lv).8       1.75576     0.145722      1.46513      1.66044      1.75402      1.85395      2.03708   0.00429064
v_subj(lv).9       1.22811     0.153394     0.916279      1.12815      1.23419      1.33152      1.52146   0.00379951
v_subj(lv).10     0.984296     0.130593     0.726914     0.895525     0.984596      1.07634      1.23585   0.00316438
v_subj(lv).11      2.27562     0.201334       1.8782      2.14262      2.28024      2.40919      2.66526   0.00577006
v_subj(lv).12      1.70771     0.198407      1.30649      1.58199      1.70818      1.84164      2.09033   0.00535987
v_subj(lv).13     0.837139     0.108015     0.622373     0.764418     0.837298     0.908913      1.04379   0.00262079
v_subj(lv).14       1.3686     0.190346     0.990322      1.24011      1.37078      1.49725      1.74873   0.00506256
v_subj(lv).15      1.41175     0.164695       1.0881       1.3019      1.41296      1.52173      1.74637   0.00466431
v_subj(lv).16      1.37968      0.12944      1.11918      1.29455      1.38359      1.46662      1.62939   0.00387252
v_subj(lv).17      1.49588     0.100455      1.30353      1.42673      1.49285      1.56342      1.69562   0.00323646
v_subj(lv).18      1.14148     0.116303     0.910927      1.06546      1.14044      1.22109      1.37413   0.00262331
v_subj(lv).19      1.21473     0.154917     0.911628      1.11177      1.21227      1.32057      1.52365    0.0037882
v_subj(lv).20      1.01996     0.114598      0.79716     0.941818      1.01923      1.09584      1.24196   0.00300462
v_subj(lv).21     0.971289     0.161861     0.642402     0.869252     0.971969      1.07959      1.28007   0.00394882
v_subj(lv).22      1.04273     0.141571     0.770568     0.944502      1.04769      1.13839      1.32042   0.00391063
v_subj(lv).23      1.81908     0.138436      1.56093      1.72109      1.81615      1.91764      2.08624   0.00426303
t(hc)             0.183696     0.027799     0.134918     0.163804     0.182048     0.201174     0.243361   0.00130971
t(hv)             0.183985    0.0279524      0.13294       0.1647     0.182102     0.201765     0.243596   0.00131107
t(lc)             0.180668    0.0268478     0.133109     0.161609     0.178527      0.19795     0.238409   0.00126107
t(lv)             0.180036    0.0275819      0.12955     0.160842     0.178539     0.197845     0.236795   0.00129511
