                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
v_std              0.12488    0.0144756    0.0998164     0.114936     0.123813     0.133509     0.157023  0.000196545
v_subj(hc).12     0.713218    0.0443376     0.626702     0.682874     0.712951     0.743776     0.799768  0.000479856
v_subj(hc).13     0.708954    0.0274546     0.654874     0.690635     0.708906      0.72738     0.762799  0.000278275
v_subj(hc).14     0.880547     0.036669     0.809976     0.855229      0.88045      0.90551       0.9533   0.00042435
v_subj(hc).15      1.07901    0.0413448     0.999476      1.05136      1.07871      1.10624      1.16172  0.000436032
v_subj(hc).16     0.738297    0.0278911     0.683986     0.719815     0.737937     0.757027     0.793473  0.000305874
v_subj(hc).17     0.768806    0.0287034     0.712146     0.749798     0.768889     0.788352     0.825297  0.000304434
v_subj(hc).18     0.761426    0.0275411     0.706323     0.743375     0.761501     0.779834     0.814961  0.000303467
v_subj(hc).19     0.764456    0.0323182     0.701848     0.742403     0.764329     0.786381     0.828048  0.000333864
v_subj(hc).20     0.770498    0.0314379     0.708767     0.749378     0.770349     0.791855      0.83139  0.000345901
v_subj(hc).21     0.864389    0.0350385     0.796415      0.84046     0.864196      0.88757     0.933741  0.000393877
v_subj(hc).22     0.762306    0.0273984     0.709255     0.743705     0.762457       0.7807     0.816288  0.000324371
v_subj(hc).23     0.992038    0.0405335     0.910789     0.964794      0.99295      1.01889       1.0708  0.000448006
v_subj(hc).24     0.727048     0.027021     0.674524     0.709105     0.726609     0.745444     0.779768  0.000333325
v_subj(hv).37     0.164201    0.0389899    0.0895631     0.137437     0.163923     0.190279      0.24071  0.000413131
v_subj(hv).38     0.351904    0.0249074     0.304335     0.334748      0.35185     0.368595     0.401512  0.000274027
v_subj(hv).39     0.178277    0.0296131       0.1194     0.158367     0.178889     0.198453     0.235648  0.000305782
v_subj(hv).40     0.402526    0.0315782     0.340002     0.381328      0.40233      0.42347     0.465001  0.000330754
v_subj(hv).41     0.224508     0.024925     0.175801     0.207515      0.22429     0.241397      0.27272  0.000254672
v_subj(hv).42    0.0675608    0.0248967    0.0191935    0.0508281    0.0676363     0.084627     0.116032  0.000276146
v_subj(hv).43     0.216527     0.024738     0.168258     0.199405     0.216909     0.233365     0.264251  0.000268618
v_subj(hv).44     0.170413    0.0271271     0.117762     0.152176     0.170658     0.188425     0.223926  0.000304393
v_subj(hv).45     0.129366    0.0274942     0.074133     0.111368     0.129542     0.148046     0.182454  0.000315249
v_subj(hv).46      0.36235    0.0288755     0.305458     0.343017     0.362296     0.382132     0.419158  0.000299357
v_subj(hv).47     0.150824    0.0241239     0.103019     0.134597     0.150817     0.167143     0.197829  0.000237605
v_subj(hv).48     0.117363    0.0309159    0.0562317    0.0968395      0.11717     0.138316     0.177961  0.000344246
v_subj(hv).49     0.129026    0.0244095    0.0817465     0.112481     0.128893     0.145667     0.176841  0.000262685
v_subj(lc).0      0.863273    0.0287096     0.807357     0.844358     0.863317      0.88269     0.920493  0.000336507
v_subj(lc).1       1.06442    0.0382281     0.989765      1.03829      1.06464      1.09042      1.13915  0.000372229
v_subj(lc).2       1.00922    0.0374869     0.936784     0.984064      1.00915      1.03438      1.08337  0.000412206
v_subj(lc).3      0.864798    0.0275479     0.811094     0.846002     0.865109     0.883498     0.917874  0.000316877
v_subj(lc).4       0.98861    0.0342743     0.921378     0.965719     0.988067      1.01173      1.05559  0.000418918
v_subj(lc).5      0.877872    0.0280763     0.822118     0.858973     0.878136     0.896857     0.933686  0.000325617
v_subj(lc).6      0.923861    0.0316363     0.862353     0.902038     0.923692     0.945426     0.985247   0.00031666
v_subj(lc).7      0.907497    0.0321358     0.844587     0.885548     0.907318     0.929132     0.969768  0.000374956
v_subj(lc).8      0.895338    0.0320701     0.833289     0.873748     0.895284     0.917013     0.958211    0.0004047
v_subj(lc).9       0.86345    0.0281776     0.808812     0.844252     0.863953     0.882676     0.919032  0.000273249
v_subj(lc).10      1.00971    0.0377986     0.935723     0.984147      1.00961      1.03452      1.08355  0.000412151
v_subj(lc).11     0.845992    0.0280994     0.790871     0.826975     0.845898     0.865323     0.900839   0.00034418
v_subj(lc).12     0.862881    0.0452932     0.774604     0.832788       0.8634     0.893655     0.950674   0.00048974
v_subj(lv).25      1.10834    0.0311972      1.04657      1.08751      1.10846       1.1292      1.16968  0.000387685
v_subj(lv).26      1.42902    0.0438333      1.34449      1.39905      1.42889      1.45874      1.51616  0.000479976
v_subj(lv).27      1.46129    0.0440497      1.37555      1.43147      1.46167      1.49075      1.54712  0.000479496
v_subj(lv).28      1.05896    0.0302575     0.999094      1.03821      1.05899      1.07968      1.11895  0.000359977
v_subj(lv).29       1.3101    0.0373931      1.23675      1.28523       1.3096      1.33561      1.38333  0.000402226
v_subj(lv).30      1.13289    0.0299078      1.07405      1.11288       1.1329      1.15295      1.19136  0.000367007
v_subj(lv).31      1.19846    0.0356646      1.12864      1.17446      1.19843      1.22238      1.26767  0.000418534
v_subj(lv).32       1.2896    0.0377148      1.21513       1.2642      1.28982      1.31506      1.36424  0.000391492
v_subj(lv).33      1.24461    0.0355296      1.17419      1.22094      1.24468      1.26886       1.3137  0.000390713
v_subj(lv).34      1.08444    0.0303991      1.02496      1.06395      1.08459       1.1051       1.1434  0.000350342
v_subj(lv).35      1.57203    0.0451534      1.48473      1.54132      1.57211      1.60283      1.66092  0.000571016
v_subj(lv).36      1.10332    0.0305695      1.04176      1.08299       1.1034       1.1237       1.1629  0.000364612
v_subj(lv).37      1.21973    0.0500777       1.1218      1.18589      1.21986      1.25381      1.31757  0.000517053
t                  0.18396    0.0779491    0.0792793     0.128005     0.164975     0.223936     0.375379    0.0053097
t_std             0.489393     0.227546     0.202129     0.325407     0.425947     0.604152      1.05978    0.0159423
t_subj.0         0.0162168  0.000617676     0.014886    0.0158234      0.01625    0.0166447     0.017329  7.49378e-06
t_subj.1          0.201563   0.00116385     0.199215     0.200799     0.201565     0.202363     0.203838  2.12056e-05
t_subj.2          0.196057   0.00127617     0.193524     0.195186     0.196085     0.196926     0.198547  2.36963e-05
t_subj.3       2.52566e-06  6.45493e-06  8.62245e-16  1.40916e-09  1.15818e-07  1.61388e-06  2.22342e-05  2.12282e-07
t_subj.4          0.133885   0.00148665     0.130872     0.132902     0.133904     0.134899     0.136735  2.20682e-05
t_subj.5       2.69444e-06  6.80159e-06  2.41087e-14   1.2189e-09  1.06292e-07  1.72771e-06  2.34581e-05  2.28944e-07
t_subj.6          0.111046   0.00156852     0.107872     0.110004     0.111076     0.112117     0.114044  2.73439e-05
t_subj.7          0.126623   0.00170777     0.123205     0.125481     0.126648     0.127787      0.12982  3.01286e-05
t_subj.8          0.110342   0.00157673     0.107213     0.109284      0.11038     0.111435     0.113382  2.28469e-05
t_subj.9       2.63807e-06  6.69384e-06   1.5248e-25  3.46168e-10  8.22498e-08  1.75288e-06  2.24421e-05  2.38596e-07
t_subj.10         0.204875   0.00113628     0.202646     0.204114     0.204873     0.205633      0.20709   1.9731e-05
t_subj.11      2.55315e-06  6.58376e-06  2.42975e-15  2.03491e-09   1.5421e-07  1.81953e-06  2.06075e-05  2.22949e-07
t_subj.12         0.144156   0.00155428     0.141085     0.143121     0.144185     0.145192     0.147141  2.86275e-05
t_subj.13        0.0161077  0.000630752    0.0147702    0.0157119    0.0161407    0.0165422    0.0172576  6.83362e-06
t_subj.14         0.187226   0.00142756       0.1844     0.186277     0.187258     0.188185     0.189974  2.41497e-05
t_subj.15         0.235624  0.000996316     0.233571     0.234974     0.235642     0.236301      0.23752  1.48981e-05
t_subj.16      2.57346e-06  6.75962e-06  4.22287e-16  1.17768e-09  1.04896e-07  1.53737e-06  2.25198e-05  2.42932e-07
t_subj.17        0.0163998  0.000611777     0.015113    0.0160065    0.0164332    0.0168356    0.0174899  7.03185e-06
t_subj.18      3.44608e-06  7.59387e-06  6.38315e-13  1.28885e-08  3.26018e-07  3.01358e-06  2.61502e-05  2.31494e-07
t_subj.19          0.13288   0.00158717     0.129649     0.131831      0.13291     0.133954     0.135972  3.06876e-05
t_subj.20         0.107544   0.00172586     0.104062     0.106402     0.107534     0.108725     0.110874  2.62945e-05
t_subj.21         0.183853   0.00135549     0.181087     0.182962     0.183885      0.18478     0.186413  2.06904e-05
t_subj.22      3.15964e-06  7.89139e-06  1.83721e-15  1.98012e-09  1.59874e-07  2.36911e-06  2.57579e-05  2.62948e-07
t_subj.23         0.247648   0.00103904      0.24555     0.246957     0.247667      0.24836     0.249652  1.83963e-05
