rt, response, subj_idx, cond
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.512,1,0,lc
0.7,0,0,lc
0.332,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.43200000000000005,0,0,lc
0.38200000000000006,1,0,lc
0.43200000000000005,1,0,lc
0.282,1,0,lc
0.282,1,0,lc
0.262,1,0,lc
0.252,1,0,lc
0.242,1,0,lc
0.242,0,0,lc
0.5720000000000001,1,0,lc
0.272,1,0,lc
0.252,0,0,lc
0.48200000000000004,1,0,lc
0.262,1,0,lc
0.252,1,0,lc
0.262,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.262,1,0,lc
0.402,0,0,lc
0.312,0,0,lc
0.252,0,0,lc
0.242,0,0,lc
0.242,0,0,lc
0.302,0,0,lc
0.7,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.312,0,0,lc
0.282,0,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.292,1,0,lc
0.7,1,0,lc
0.312,0,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,1,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.272,0,0,lc
0.41200000000000003,0,0,lc
0.7,0,0,lc
0.242,1,0,lc
0.552,1,0,lc
0.252,1,0,lc
0.242,1,0,lc
0.272,1,0,lc
0.252,1,0,lc
0.252,1,0,lc
0.252,0,0,lc
0.49200000000000005,1,0,lc
0.312,1,0,lc
0.252,1,0,lc
0.242,1,0,lc
0.242,1,0,lc
0.252,1,0,lc
0.252,0,0,lc
0.522,1,0,lc
0.522,0,0,lc
0.7,0,0,lc
0.252,0,0,lc
0.252,1,0,lc
0.242,1,0,lc
0.37200000000000005,1,0,lc
0.252,1,0,lc
0.7,0,0,lc
0.252,1,0,lc
0.42200000000000004,0,0,lc
0.552,0,0,lc
0.262,0,0,lc
0.242,0,0,lc
0.242,1,0,lc
0.7,1,0,lc
0.7,1,0,lc
0.242,1,0,lc
0.7,0,1,lc
0.7,0,1,lc
0.7,1,1,lc
0.7,0,1,lc
0.7,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.42200000000000004,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.502,0,1,lc
0.7,0,1,lc
0.292,0,1,lc
0.192,1,1,lc
0.7,1,1,lc
0.272,1,1,lc
0.20199999999999999,1,1,lc
0.322,0,1,lc
0.7,0,1,lc
0.7,0,1,lc
0.192,0,1,lc
0.262,0,1,lc
0.212,1,1,lc
0.462,0,1,lc
0.242,0,1,lc
0.20199999999999999,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.552,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.522,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.7,0,1,lc
0.192,1,1,lc
0.242,1,1,lc
0.23199999999999998,1,1,lc
0.252,0,1,lc
0.282,1,1,lc
0.192,1,1,lc
0.212,1,1,lc
0.23199999999999998,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.44200000000000006,0,1,lc
0.212,1,1,lc
0.212,1,1,lc
0.252,1,1,lc
0.23199999999999998,1,1,lc
0.192,1,1,lc
0.222,1,1,lc
0.192,0,1,lc
0.292,0,1,lc
0.212,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.23199999999999998,0,1,lc
0.7,1,1,lc
0.342,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.342,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.7,1,1,lc
0.7,0,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.222,1,1,lc
0.192,1,1,lc
0.212,1,1,lc
0.20199999999999999,1,1,lc
0.192,1,1,lc
0.37200000000000005,1,1,lc
0.212,0,1,lc
0.342,1,1,lc
0.222,0,1,lc
0.272,0,1,lc
0.20199999999999999,0,1,lc
0.192,1,1,lc
0.47200000000000003,0,1,lc
0.222,0,1,lc
0.192,0,1,lc
0.192,1,1,lc
0.452,1,1,lc
0.7,0,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.262,1,1,lc
0.20199999999999999,0,1,lc
0.242,1,1,lc
0.252,1,1,lc
0.272,0,1,lc
0.44200000000000006,0,1,lc
0.212,1,1,lc
0.612,1,1,lc
0.20199999999999999,1,1,lc
0.20199999999999999,1,1,lc
0.20199999999999999,1,1,lc
0.192,1,1,lc
0.20199999999999999,0,1,lc
0.5820000000000001,0,1,lc
0.212,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.7,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.502,0,1,lc
0.35200000000000004,1,1,lc
0.192,1,1,lc
0.7,0,1,lc
0.192,1,1,lc
0.222,1,1,lc
0.20199999999999999,1,1,lc
0.20199999999999999,1,1,lc
0.192,0,1,lc
0.7,0,1,lc
0.20199999999999999,1,1,lc
0.192,0,1,lc
0.212,1,1,lc
0.212,1,1,lc
0.212,0,1,lc
0.23199999999999998,0,1,lc
0.20199999999999999,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,1,1,lc
0.7,1,1,lc
0.272,0,1,lc
0.7,1,1,lc
0.222,0,1,lc
0.20199999999999999,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.7,1,1,lc
0.7,0,1,lc
0.48200000000000004,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.7,0,1,lc
0.47200000000000003,1,1,lc
0.562,0,1,lc
0.222,1,1,lc
0.23199999999999998,0,1,lc
0.212,1,1,lc
0.292,1,1,lc
0.222,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.20199999999999999,1,1,lc
0.192,0,1,lc
0.7,1,1,lc
0.302,1,1,lc
0.7,1,1,lc
0.322,1,1,lc
0.20199999999999999,1,1,lc
0.212,0,1,lc
0.7,1,1,lc
0.262,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.7,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.192,1,1,lc
0.302,1,1,lc
0.20199999999999999,1,1,lc
0.20199999999999999,0,1,lc
0.312,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.41200000000000003,0,1,lc
0.272,1,1,lc
0.322,1,1,lc
0.192,1,1,lc
0.222,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.38200000000000006,1,1,lc
0.20199999999999999,1,1,lc
0.222,0,1,lc
0.392,0,1,lc
0.212,0,1,lc
0.192,1,1,lc
0.222,1,1,lc
0.6920000000000001,0,1,lc
0.292,1,1,lc
0.282,0,1,lc
0.252,0,1,lc
0.20199999999999999,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,1,1,lc
0.7,1,1,lc
0.7,1,1,lc
0.20199999999999999,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.552,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.23199999999999998,1,1,lc
0.23199999999999998,1,1,lc
0.302,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.49200000000000005,1,1,lc
0.212,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.552,1,1,lc
0.212,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.43200000000000005,0,1,lc
0.212,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.272,0,1,lc
0.562,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.392,1,1,lc
0.342,0,1,lc
0.342,0,1,lc
0.192,0,1,lc
0.282,0,1,lc
0.212,1,1,lc
0.212,1,1,lc
0.242,1,1,lc
0.192,1,1,lc
0.192,1,1,lc
0.192,0,1,lc
0.342,0,1,lc
0.212,0,1,lc
0.192,0,1,lc
0.192,1,1,lc
0.7,0,1,lc
0.20199999999999999,0,1,lc
0.402,0,1,lc
0.20199999999999999,0,1,lc
0.192,0,1,lc
0.192,1,1,lc
0.542,0,1,lc
0.222,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.192,0,1,lc
0.332,0,1,lc
0.7,1,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.562,0,1,lc
0.7,1,1,lc
0.7,0,1,lc
0.222,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.342,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.48200000000000004,0,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,1,1,lc
0.322,0,1,lc
0.322,1,1,lc
0.7,0,2,lc
0.7,0,2,lc
0.7,0,2,lc
0.7,1,2,lc
0.7,0,2,lc
0.462,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.312,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.36200000000000004,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.662,0,2,lc
0.312,1,2,lc
0.332,1,2,lc
0.222,1,2,lc
0.212,1,2,lc
0.172,1,2,lc
0.172,0,2,lc
0.212,0,2,lc
0.192,0,2,lc
0.182,1,2,lc
0.192,0,2,lc
0.182,0,2,lc
0.182,0,2,lc
0.172,0,2,lc
0.172,0,2,lc
0.172,0,2,lc
0.172,0,2,lc
0.172,0,2,lc
0.212,0,2,lc
0.7,0,2,lc
0.562,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.36200000000000004,0,2,lc
0.522,1,2,lc
0.7,0,2,lc
0.7,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.36200000000000004,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.7,0,2,lc
0.172,1,2,lc
0.182,1,2,lc
0.262,1,2,lc
0.7,1,2,lc
0.342,1,2,lc
0.552,0,2,lc
0.222,1,2,lc
0.7,0,2,lc
0.342,0,2,lc
0.172,1,2,lc
0.542,1,2,lc
0.20199999999999999,1,2,lc
0.322,1,2,lc
0.182,1,2,lc
0.182,1,2,lc
0.172,0,2,lc
0.7,1,2,lc
0.252,0,2,lc
0.182,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.42200000000000004,0,2,lc
0.7,0,2,lc
0.172,1,2,lc
0.212,1,2,lc
0.302,1,2,lc
0.312,1,2,lc
0.182,0,2,lc
0.5820000000000001,0,2,lc
0.192,1,2,lc
0.302,0,2,lc
0.20199999999999999,0,2,lc
0.182,0,2,lc
0.172,0,2,lc
0.172,1,2,lc
0.7,1,2,lc
0.47200000000000003,0,2,lc
0.7,1,2,lc
0.392,0,2,lc
0.42200000000000004,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.652,1,2,lc
0.7,1,2,lc
0.452,1,2,lc
0.182,1,2,lc
0.182,1,2,lc
0.192,1,2,lc
0.172,1,2,lc
0.20199999999999999,0,2,lc
0.512,0,2,lc
0.192,0,2,lc
0.622,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.502,1,2,lc
0.7,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.38200000000000006,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.7,0,2,lc
0.172,1,2,lc
0.252,1,2,lc
0.44200000000000006,1,2,lc
0.182,1,2,lc
0.182,1,2,lc
0.222,1,2,lc
0.212,1,2,lc
0.172,1,2,lc
0.182,1,2,lc
0.172,1,2,lc
0.182,1,2,lc
0.172,1,2,lc
0.172,0,2,lc
0.462,0,2,lc
0.20199999999999999,0,2,lc
0.182,0,2,lc
0.172,0,2,lc
0.23199999999999998,0,2,lc
0.7,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.42200000000000004,0,2,lc
0.292,0,2,lc
0.172,1,2,lc
0.452,1,2,lc
0.262,0,2,lc
0.47200000000000003,1,2,lc
0.182,1,2,lc
0.38200000000000006,1,2,lc
0.182,1,2,lc
0.172,1,2,lc
0.182,1,2,lc
0.172,1,2,lc
0.172,0,2,lc
0.48200000000000004,0,2,lc
0.192,0,2,lc
0.182,0,2,lc
0.172,0,2,lc
0.35200000000000004,1,2,lc
0.5820000000000001,0,2,lc
0.342,1,2,lc
0.7,1,2,lc
0.302,0,2,lc
0.182,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.282,1,2,lc
0.23199999999999998,0,2,lc
0.252,0,2,lc
0.192,0,2,lc
0.182,0,2,lc
0.642,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.402,1,2,lc
0.622,0,2,lc
0.502,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.38200000000000006,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.7,0,2,lc
0.20199999999999999,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.42200000000000004,0,2,lc
0.7,0,2,lc
0.212,1,2,lc
0.38200000000000006,1,2,lc
0.192,1,2,lc
0.172,1,2,lc
0.222,0,2,lc
0.292,1,2,lc
0.20199999999999999,1,2,lc
0.182,1,2,lc
0.172,0,2,lc
0.322,0,2,lc
0.20199999999999999,1,2,lc
0.262,0,2,lc
0.212,0,2,lc
0.182,0,2,lc
0.182,0,2,lc
0.172,0,2,lc
0.172,0,2,lc
0.192,0,2,lc
0.272,1,2,lc
0.7,1,2,lc
0.342,1,2,lc
0.452,0,2,lc
0.212,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.36200000000000004,0,2,lc
0.7,1,2,lc
0.7,0,2,lc
0.292,1,2,lc
0.342,1,2,lc
0.342,1,2,lc
0.182,1,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,0,2,lc
0.342,1,2,lc
0.292,0,2,lc
0.182,0,2,lc
0.342,1,2,lc
0.7,0,3,lc
0.7,0,3,lc
0.7,0,3,lc
0.7,1,3,lc
0.7,1,3,lc
0.7,0,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,1,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,1,3,lc
0.20199999999999999,1,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,0,3,lc
0.20199999999999999,0,3,lc
0.302,0,3,lc
0.7,0,3,lc
