                      mean          std       2.5q        25q         50q        75q      97.5q       mc err
v_subj(hv).768    0.210792    0.0844512  0.0469756   0.152844    0.212289   0.268403   0.380825   0.00210404
v_subj(hv).769     1.05495    0.0980955   0.852172   0.989783     1.05831    1.12149    1.24411   0.00268657
v_subj(hv).770    0.780665    0.0968591   0.594218   0.714653    0.778102   0.847066    0.96924   0.00244509
v_subj(hv).771  -0.0194235    0.0881514  -0.186708 -0.0779692  -0.0181458  0.0391435   0.154696   0.00219903
v_subj(hv).772   -0.128983    0.0881294  -0.304935   -0.18873   -0.128643 -0.0683546  0.0404613   0.00199752
v_subj(hv).773     1.93793     0.113575    1.71461    1.86428      1.9402    2.01233    2.15365   0.00306342
v_subj(hv).774    0.982537     0.102943   0.783547   0.913336    0.982608     1.0544    1.18136   0.00269517
v_subj(hv).775   0.0134238    0.0960317  -0.182525 -0.0492458   0.0116801  0.0753877   0.202076   0.00205457
v_subj(hv).776     1.09341    0.0925313   0.911691    1.02847     1.09472    1.15548    1.27313    0.0020107
v_subj(hv).777     1.49431    0.0958711     1.2974    1.43254     1.49634    1.56156    1.67365   0.00276905
v_subj(hv).778     0.12045    0.0730344 -0.0236009  0.0721321    0.121253   0.168819   0.266226   0.00174648
v_subj(hv).779     1.47752     0.101812    1.27357     1.4104     1.47738    1.54667    1.67376   0.00253004
v_subj(hv).780     1.91953     0.112388    1.70136    1.84317     1.91618    1.99419    2.14127   0.00297351
v_subj(hv).781     1.58771     0.118794    1.35519    1.51018       1.587     1.6708    1.82064   0.00291669
v_subj(hv).782    0.848826    0.0936334   0.672514   0.785657    0.849064   0.912603    1.03223   0.00229489
v_subj(hv).783     2.05313     0.117621    1.82483    1.97545     2.05169    2.13002    2.29673   0.00304503
v_subj(hv).784     0.18908    0.0815865  0.0361279   0.133809    0.189574    0.24332   0.349334   0.00214583
v_subj(lc).761     3.11698     0.122704    2.87829    3.03307     3.11467    3.20168    3.36776   0.00341043
v_subj(lc).762      2.1902     0.105365    1.98375    2.11927     2.18974    2.26297    2.39827   0.00293263
v_subj(lc).763    0.507776    0.0884739   0.332654   0.448013     0.50695   0.567779   0.682681   0.00193119
v_subj(lc).764     1.17039    0.0954153   0.985011    1.10537     1.16866    1.23417    1.36101   0.00242814
v_subj(lc).765     2.17147    0.0893925    1.99775    2.11223     2.17253    2.23226    2.35016   0.00242023
v_subj(lc).766     2.37053     0.104754    2.16584    2.29792     2.37453    2.44161    2.57471   0.00281846
v_subj(lc).767     2.01502    0.0860351    1.84412    1.95729     2.01609    2.07314    2.18215   0.00230865
v_subj(lc).768   0.0983634    0.0823281 -0.0636825  0.0442412   0.0979285   0.152854   0.261409    0.0020803
v_subj(lc).769     1.42858    0.0959946    1.24035    1.36666     1.43083    1.49418    1.60912   0.00221723
v_subj(lc).770     2.25353     0.111921    2.03795    2.17895     2.24802    2.32774    2.48195   0.00263521
v_subj(lc).771   -0.126817     0.106714  -0.337382  -0.197318   -0.124407 -0.0546535  0.0793643   0.00290573
v_subj(lc).772   0.0149978    0.0977234  -0.178104 -0.0515148   0.0176113  0.0802994   0.199819    0.0022402
v_subj(lc).773     2.64939     0.112738    2.44295     2.5704      2.6459    2.72787    2.87428   0.00344868
v_subj(lc).774      1.7156    0.0972016    1.52488    1.65218     1.71511    1.78322    1.90418   0.00242106
v_subj(lc).775  0.00939232    0.0899088  -0.164509 -0.0541138  0.00908091  0.0696753   0.185353   0.00201227
v_subj(lc).776     1.43158    0.0921897    1.25301    1.36873     1.42961     1.4939    1.61415   0.00231895
v_subj(lc).777     2.28111      0.10426    2.07729    2.20886     2.27954    2.34908    2.49462   0.00306148
v_subj(lc).778      1.0649    0.0840644   0.908492    1.00745     1.06697    1.12245    1.23247   0.00222169
v_subj(lc).779     1.43353    0.0943558    1.24665    1.36998      1.4325    1.49525    1.62351   0.00214741
v_subj(lc).780     2.84894     0.120147    2.61477    2.76643     2.84841     2.9302    3.08616   0.00331158
v_subj(lc).781     1.65274     0.109498    1.43215    1.58029     1.65134    1.72601    1.87049   0.00269425
v_subj(lc).782     1.72976      0.10215    1.53179    1.66198      1.7311    1.79643    1.92884   0.00270809
v_subj(lc).783     1.99026     0.106465    1.78363    1.92082      1.9932    2.06185    2.19091   0.00261081
v_subj(lc).784    0.545576    0.0777105   0.387995   0.496172    0.544968   0.599968   0.696639    0.0020155
v_subj(lv).761     3.48567     0.126427    3.23505    3.40177     3.48759    3.56689    3.73017    0.0032594
v_subj(lv).762     1.54952     0.106128    1.34553    1.47962     1.54968    1.62212    1.75716   0.00295435
v_subj(lv).763    0.334956    0.0988303   0.143379     0.2664    0.335216     0.4033   0.526655    0.0027848
v_subj(lv).764    0.720159    0.0911536   0.545335   0.659699    0.718186   0.781444   0.897695   0.00229256
v_subj(lv).765     1.38553    0.0813635    1.22509    1.32884     1.38573    1.44185    1.54344   0.00224859
v_subj(lv).766     1.98708    0.0996278    1.80139    1.91612     1.98631    2.05185    2.19336   0.00252685
v_subj(lv).767     1.13954    0.0877199    0.96912     1.0808     1.14058    1.19707    1.31256   0.00199098
v_subj(lv).768    0.115923    0.0875002 -0.0539778  0.0548585    0.115904   0.174165   0.289665   0.00230426
v_subj(lv).769      1.2095    0.0950203    1.02818    1.14588      1.2075    1.27301    1.39326   0.00238897
v_subj(lv).770     2.01875     0.109148    1.80346    1.94557     2.02176    2.09226    2.22944   0.00273187
v_subj(lv).771    0.106484    0.0967885 -0.0826017  0.0396094    0.106814   0.170031   0.297019   0.00225604
v_subj(lv).772 -0.00514194    0.0877401  -0.177516 -0.0644973 -0.00338442  0.0539067   0.166327   0.00214698
v_subj(lv).773     2.34821     0.109771    2.13154     2.2745     2.34651     2.4244     2.5643   0.00350485
v_subj(lv).774     1.08913    0.0966046   0.902937    1.02384     1.08979    1.15487    1.27991   0.00235563
v_subj(lv).775   0.0382717     0.087891  -0.135678 -0.0206732   0.0371548  0.0994592   0.204748   0.00206349
v_subj(lv).776     1.64585     0.096798    1.45522    1.57929     1.64315     1.7135    1.83506    0.0023306
v_subj(lv).777     2.23436     0.104689    2.02957    2.16215     2.23489    2.30874    2.43551   0.00276366
v_subj(lv).778      1.9252    0.0965742    1.73332    1.86047     1.92451    1.99096    2.11694   0.00265119
v_subj(lv).779     1.52304    0.0974045    1.33037    1.45866     1.52229    1.58662    1.71395   0.00253394
v_subj(lv).780      1.4336    0.0961798    1.24166    1.37057      1.4347    1.49753    1.61891   0.00241827
v_subj(lv).781     2.26715     0.125964    2.02063    2.18056     2.26921    2.35236    2.51825   0.00343277
v_subj(lv).782    0.838644     0.087106   0.679533   0.777694    0.838774    0.89817    1.00992   0.00214788
v_subj(lv).783     2.20087     0.112387    1.97771    2.12617     2.19625    2.27604    2.42301   0.00299863
v_subj(lv).784   0.0248192    0.0914946  -0.151403 -0.0359367   0.0252021  0.0868335   0.209844   0.00219674
t                 0.115475   0.00538377   0.105247   0.111765    0.115311   0.118832   0.126579  0.000109102
t_std            0.0255077   0.00408126  0.0188437  0.0226333   0.0250359  0.0277978  0.0348416  0.000100521
t_subj.761        0.152219  0.000342997   0.151498   0.152002    0.152236   0.152455    0.15284  8.50808e-06
t_subj.762        0.138479  0.000429455   0.137532   0.138204    0.138508   0.138779   0.139263  9.91807e-06
t_subj.763       0.0957792  0.000708944  0.0943113  0.0953191   0.0958172  0.0962597  0.0970975  1.43948e-05
t_subj.764       0.0960636  0.000713037  0.0945452  0.0956224   0.0961129  0.0965487  0.0973379  1.33797e-05
t_subj.765        0.118227  0.000529335   0.117152   0.117874    0.118279   0.118606   0.119169   1.2928e-05
t_subj.766       0.0980908  0.000374104  0.0972956  0.0978602   0.0981221  0.0983565  0.0987477  8.99224e-06
t_subj.767       0.0948976  0.000643607  0.0935441  0.0944958   0.0949212  0.0953486   0.096066  1.41244e-05
t_subj.768       0.0871975   0.00107064  0.0851016   0.086481   0.0872282  0.0879545  0.0891859  2.33561e-05
t_subj.769       0.0984055  0.000528241  0.0972734  0.0980763   0.0984265  0.0987815  0.0993519  1.19088e-05
t_subj.770        0.122624  0.000429113   0.121726   0.122336    0.122636   0.122922    0.12341  1.01327e-05
t_subj.771       0.0959605  0.000496271  0.0949323  0.0956552   0.0959868   0.096299   0.096852  1.04958e-05
t_subj.772       0.0942206  0.000672476  0.0928398  0.0937803    0.094243  0.0946876  0.0954199  1.41064e-05
t_subj.773        0.126623  0.000302635   0.125972   0.126427    0.126647   0.126838   0.127154  6.38196e-06
t_subj.774        0.107665  0.000460224   0.106627    0.10739    0.107704   0.107987   0.108477  1.16835e-05
t_subj.775       0.0950002  0.000667885  0.0936535  0.0945705   0.0950048  0.0954556  0.0962877  1.49757e-05
