"r_t1","r_t2","c_prob","c_prob_epoch_t0","c_prob_epoch_t1","cp","obs_cp","mu_rewards","std_rewards","condition","trial","trialset","epoch_n","ID","p_id_solution","t0_p","t1_p","epoch_trial"
2.418365,0,0.886792,0.894737,0.105263,0,1,3,1,"lc",53,"23",1,784,112,0.85,0.15,19
2.771505,0,0.888889,0.9,0.1,0,0,3,1,"lc",54,"23",1,784,112,0.85,0.15,20
3.261715,0,0.890909,0.904762,0.095238,0,0,3,1,"lc",55,"23",1,784,112,0.85,0.15,21
2.774214,0,0.875,1,0,1,0,3,1,"lc",56,"23",2,784,111,0.15,0.85,1
0,1.038502,0.877193,0.5,0.5,0,1,3,1,"lc",57,"23",2,784,111,0.15,0.85,2
0,5.005002,0.87931,0.333333,0.666667,0,0,3,1,"lc",58,"23",2,784,111,0.15,0.85,3
0,3.419332,0.881356,0.25,0.75,0,0,3,1,"lc",59,"23",2,784,111,0.15,0.85,4
0,4.186364,0.883333,0.2,0.8,0,0,3,1,"lc",60,"23",2,784,111,0.15,0.85,5
2.775411,0,0.868852,0.333333,0.666667,0,1,3,1,"lc",61,"23",2,784,111,0.15,0.85,6
0,4.30301,0.870968,0.285714,0.714286,0,1,3,1,"lc",62,"23",2,784,111,0.15,0.85,7
0,3.036054,0.873016,0.25,0.75,0,0,3,1,"lc",63,"23",2,784,111,0.15,0.85,8
0,2.083015,0.875,0.222222,0.777778,0,0,3,1,"lc",64,"23",2,784,111,0.15,0.85,9
0,3.556575,0.876923,0.2,0.8,0,0,3,1,"lc",65,"23",2,784,111,0.15,0.85,10
0,3.109477,0.878788,0.181818,0.818182,0,0,3,1,"lc",66,"23",2,784,111,0.15,0.85,11
0,1.180713,0.880597,0.166667,0.833333,0,0,3,1,"lc",67,"23",2,784,111,0.15,0.85,12
0,2.614248,0.882353,0.153846,0.846154,0,0,3,1,"lc",68,"23",2,784,111,0.15,0.85,13
3.478858,0,0.869565,0.214286,0.785714,0,1,3,1,"lc",69,"23",2,784,111,0.15,0.85,14
0,3.805717,0.871429,0.2,0.8,0,1,3,1,"lc",70,"23",2,784,111,0.15,0.85,15
0,3.175645,0.873239,0.1875,0.8125,0,0,3,1,"lc",71,"23",2,784,111,0.15,0.85,16
0,2.699906,0.875,0.176471,0.823529,0,0,3,1,"lc",72,"23",2,784,111,0.15,0.85,17
0,4.832715,0.876712,0.166667,0.833333,0,0,3,1,"lc",73,"23",2,784,111,0.15,0.85,18
3.153461,0,0.864865,0.210526,0.789474,0,1,3,1,"lc",74,"23",2,784,111,0.15,0.85,19
0,2.336163,0.866667,0.2,0.8,0,1,3,1,"lc",75,"23",2,784,111,0.15,0.85,20
4.087645,0,0.855263,0.238095,0.761905,0,1,3,1,"lc",76,"23",2,784,111,0.15,0.85,21
0,1.483529,0.857143,0.227273,0.772727,0,1,3,1,"lc",77,"23",2,784,111,0.15,0.85,22
0,2.051333,0.858974,0.217391,0.782609,0,0,3,1,"lc",78,"23",2,784,111,0.15,0.85,23
3.536301,0,0.848101,0.25,0.75,0,1,3,1,"lc",79,"23",2,784,111,0.15,0.85,24
0,2.139505,0.85,0.24,0.76,0,1,3,1,"lc",80,"23",2,784,111,0.15,0.85,25
3.147618,0,0.839506,0.269231,0.730769,0,1,3,1,"lc",81,"23",2,784,111,0.15,0.85,26
0,3.686559,0.841463,0.259259,0.740741,0,1,3,1,"lc",82,"23",2,784,111,0.15,0.85,27
0,3.420015,0.843373,0.25,0.75,0,0,3,1,"lc",83,"23",2,784,111,0.15,0.85,28
0,3.864938,0.845238,0.241379,0.758621,0,0,3,1,"lc",84,"23",2,784,111,0.15,0.85,29
2.575872,0,0.847059,1,0,1,1,3,1,"lc",85,"23",3,784,112,0.85,0.15,1
4.490646,0,0.848837,1,0,0,0,3,1,"lc",86,"23",3,784,112,0.85,0.15,2
2.947823,0,0.850575,1,0,0,0,3,1,"lc",87,"23",3,784,112,0.85,0.15,3
3.777846,0,0.852273,1,0,0,0,3,1,"lc",88,"23",3,784,112,0.85,0.15,4
4.056421,0,0.853933,1,0,0,0,3,1,"lc",89,"23",3,784,112,0.85,0.15,5
1.640229,0,0.855556,1,0,0,0,3,1,"lc",90,"23",3,784,112,0.85,0.15,6
2.46448,0,0.857143,1,0,0,0,3,1,"lc",91,"23",3,784,112,0.85,0.15,7
2.484157,0,0.858696,1,0,0,0,3,1,"lc",92,"23",3,784,112,0.85,0.15,8
3.654449,0,0.860215,1,0,0,0,3,1,"lc",93,"23",3,784,112,0.85,0.15,9
1.949544,0,0.861702,1,0,0,0,3,1,"lc",94,"23",3,784,112,0.85,0.15,10
2.904509,0,0.863158,1,0,0,0,3,1,"lc",95,"23",3,784,112,0.85,0.15,11
2.318957,0,0.864583,1,0,0,0,3,1,"lc",96,"23",3,784,112,0.85,0.15,12
1.502939,0,0.865979,1,0,0,0,3,1,"lc",97,"23",3,784,112,0.85,0.15,13
1.66689,0,0.867347,1,0,0,0,3,1,"lc",98,"23",3,784,112,0.85,0.15,14
0,2.765135,0.858586,0.933333,0.066667,0,1,3,1,"lc",99,"23",3,784,112,0.85,0.15,15
3.328728,0,0.86,0.9375,0.0625,0,1,3,1,"lc",100,"23",3,784,112,0.85,0.15,16
3.197257,0,0.861386,0.941176,0.058824,0,0,3,1,"lc",101,"23",3,784,112,0.85,0.15,17
2.508361,0,0.862745,0.944444,0.055556,0,0,3,1,"lc",102,"23",3,784,112,0.85,0.15,18
3.051228,0,0.864078,0.947368,0.052632,0,0,3,1,"lc",103,"23",3,784,112,0.85,0.15,19
3.850102,0,0.865385,0.95,0.05,0,0,3,1,"lc",104,"23",3,784,112,0.85,0.15,20
1.779216,0,0.866667,0.952381,0.047619,0,0,3,1,"lc",105,"23",3,784,112,0.85,0.15,21
3.036199,0,0.867925,0.954545,0.045455,0,0,3,1,"lc",106,"23",3,784,112,0.85,0.15,22
0,1.685567,0.859813,0.913043,0.086957,0,1,3,1,"lc",107,"23",3,784,112,0.85,0.15,23
2.38479,0,0.861111,0.916667,0.083333,0,1,3,1,"lc",108,"23",3,784,112,0.85,0.15,24
0,2.700703,0.862385,0,1,1,1,3,1,"lc",109,"23",4,784,111,0.15,0.85,1
0,2.797294,0.863636,0,1,0,0,3,1,"lc",110,"23",4,784,111,0.15,0.85,2
0,2.47569,0.864865,0,1,0,0,3,1,"lc",111,"23",4,784,111,0.15,0.85,3
0,4.59984,0.866071,0,1,0,0,3,1,"lc",112,"23",4,784,111,0.15,0.85,4
0,4.110464,0.867257,0,1,0,0,3,1,"lc",113,"23",4,784,111,0.15,0.85,5
0,4.074685,0.868421,0,1,0,0,3,1,"lc",114,"23",4,784,111,0.15,0.85,6
0,3.592463,0.869565,0,1,0,0,3,1,"lc",115,"23",4,784,111,0.15,0.85,7
0,2.278875,0.87069,0,1,0,0,3,1,"lc",116,"23",4,784,111,0.15,0.85,8
0,2.54388,0.871795,0,1,0,0,3,1,"lc",117,"23",4,784,111,0.15,0.85,9
0,2.827504,0.872881,0,1,0,0,3,1,"lc",118,"23",4,784,111,0.15,0.85,10
0,3.016566,0.87395,0,1,0,0,3,1,"lc",119,"23",4,784,111,0.15,0.85,11
