                      mean          std         2.5q          25q          50q          75q        97.5q       mc err
a_subj(lc).8      0.847266    0.0168581     0.814634     0.835773     0.847136     0.858639     0.881055  0.000345808
a_subj(lc).9      0.647555      0.01199     0.625519     0.639484     0.647392     0.655324     0.672748   0.00031854
a_subj(lc).10     0.783992    0.0140722     0.756448      0.77477     0.783831     0.793085     0.810884  0.000389804
a_subj(lc).11     0.512478   0.00958052     0.494195     0.505629     0.512478     0.518986     0.531635  0.000260929
a_subj(lc).12     0.450089   0.00824874     0.434424     0.444387     0.450288      0.45541     0.466516  0.000240532
a_subj(lc).13     0.897599    0.0160925     0.865681     0.886672     0.898004     0.908416      0.92815   0.00041563
a_subj(lc).14     0.476092   0.00907321     0.459284     0.469909     0.475634     0.482046     0.494682   0.00020419
a_subj(lc).15     0.578186    0.0108864     0.557307     0.570843     0.577803     0.585541     0.599969  0.000276999
a_subj(lc).16     0.759065    0.0139167     0.732736     0.749368     0.759104     0.768131     0.786639  0.000416086
a_subj(lc).17      1.17548    0.0219389       1.1333      1.16078      1.17513       1.1901      1.22054  0.000438153
a_subj(lc).18     0.892288    0.0159229     0.862372     0.881098     0.891912     0.903425       0.9238  0.000474199
a_subj(lc).19     0.607406    0.0107486     0.586488     0.600415     0.607309     0.614451     0.628819  0.000255755
a_subj(lc).20     0.834844     0.015187     0.805481     0.824153     0.834621     0.844819     0.865644  0.000412456
a_subj(lc).21     0.579599    0.0107031      0.55948     0.572112     0.579432      0.58674     0.601126  0.000276202
a_subj(lc).22     0.688108    0.0128027     0.662989     0.679469      0.68835     0.696631     0.712597  0.000331471
a_subj(lc).23     0.930006    0.0191322     0.893285     0.917146     0.929759     0.943075     0.969409  0.000368848
a_subj(lv).0       0.73628    0.0136375     0.709951     0.727246     0.736085      0.74543     0.764226  0.000421127
a_subj(lv).1      0.569959    0.0105997     0.548803     0.563088      0.56995     0.577193     0.590704  0.000277926
a_subj(lv).2      0.838812    0.0150722     0.810237     0.828605     0.838438     0.848688     0.869953  0.000380713
a_subj(lv).3       1.13527    0.0216817      1.09344      1.12106      1.13522      1.14877       1.1806  0.000431254
a_subj(lv).4      0.556807    0.0100544     0.538184      0.55002     0.556564      0.56338     0.576492  0.000261618
a_subj(lv).5      0.674107    0.0131515      0.64904     0.665433     0.673841     0.682785     0.701621  0.000361338
a_subj(lv).6       0.47301   0.00901299     0.455929     0.467062     0.472849     0.479012     0.490898  0.000253982
a_subj(lv).7      0.469252   0.00852838     0.452796     0.463371     0.468961     0.474715     0.486575  0.000218203
a_subj(lv).8      0.832232    0.0166543      0.80034     0.820634     0.832247     0.843785     0.864763  0.000333904
a_subj(lv).9      0.631919    0.0113805     0.610776     0.624209     0.631457     0.639317     0.655484   0.00032166
a_subj(lv).10     0.740833     0.013646     0.713576     0.731892      0.74068     0.749742     0.768278  0.000343187
a_subj(lv).11     0.486919   0.00921265     0.468958     0.480728     0.486519     0.493134     0.505795  0.000222832
a_subj(lv).12     0.442535    0.0081011     0.426868        0.437     0.442423     0.447879     0.458804  0.000215097
a_subj(lv).13     0.885828    0.0164528     0.854489     0.874258     0.885591      0.89715      0.91782  0.000394994
a_subj(lv).14     0.463207   0.00835059     0.446854     0.457594     0.463137     0.468703     0.480526  0.000189664
a_subj(lv).15      0.57845    0.0108865     0.557069     0.571301     0.578425     0.585712     0.599788  0.000299727
a_subj(lv).16     0.764383    0.0136031     0.738978     0.754836     0.764318     0.773341     0.791907  0.000335971
a_subj(lv).17       1.1755    0.0226825      1.13225      1.16072      1.17536      1.19011      1.22075  0.000460116
a_subj(lv).18     0.890952    0.0169237      0.85756     0.879376     0.890595     0.902006     0.925231  0.000443019
a_subj(lv).19     0.603525    0.0103759     0.583396     0.596476     0.603469     0.610314     0.624334  0.000266127
a_subj(lv).20     0.851615    0.0156893     0.822056     0.841393     0.851026     0.861783     0.883509  0.000391842
a_subj(lv).21     0.605894    0.0111131     0.584388     0.598471      0.60571     0.613507     0.627662  0.000270387
a_subj(lv).22     0.689279    0.0119635     0.664756      0.68139      0.68942      0.69736     0.712293  0.000308252
