                      mean          std         2.5q         25q          50q          75q        97.5q       mc err
v_subj(hv).8      0.471349     0.110565     0.255807    0.395958     0.470738     0.542478     0.691344   0.00269563
v_subj(hv).9      0.639595     0.125001      0.40125    0.553452     0.637742      0.72635     0.882881   0.00302065
v_subj(hv).10      0.23419     0.110362    0.0223541     0.16037     0.235863     0.305284     0.452602   0.00240089
v_subj(hv).11       0.7745     0.141784     0.502551    0.677993      0.77745     0.869736      1.04985   0.00320742
v_subj(hv).12     0.050012     0.161335    -0.258277  -0.0602396     0.045461     0.160686     0.363273   0.00337619
v_subj(hv).13     0.344501     0.102891     0.141565    0.277252     0.346366     0.412888     0.552713   0.00222859
v_subj(hv).14    0.0999579     0.160236    -0.217773 -0.00731951     0.104405     0.212013     0.403498   0.00382966
v_subj(hv).15     0.493204     0.133962     0.216779    0.405207     0.498842     0.583119     0.750232   0.00252804
v_subj(hv).16   -0.0868309     0.113267    -0.311614   -0.161589   -0.0871993    -0.011607     0.135258   0.00265857
v_subj(hv).17     0.470785    0.0866201     0.301019    0.410979     0.472995     0.527879     0.641043   0.00218103
v_subj(hv).18     0.522158    0.0967792     0.332566    0.455701     0.523677     0.586372     0.711063   0.00243555
v_subj(hv).19     0.516985     0.137994     0.246569    0.427547     0.516354     0.606721     0.793776   0.00265041
v_subj(hv).20     0.577501     0.106938     0.370537    0.503621     0.577374     0.649615     0.788277   0.00202375
v_subj(hv).21     0.111962      0.13978    -0.153771   0.0163016     0.112565     0.208736      0.39195   0.00309344
v_subj(hv).22     0.402915     0.126763     0.142672     0.31747     0.404895      0.48991     0.645791   0.00232985
v_subj(hv).23     0.664865     0.106114     0.451794    0.594583     0.664316     0.738616     0.866491   0.00241835
v_subj(lc).0        1.2803     0.118248      1.05186     1.19717      1.28307      1.36172      1.50876   0.00279453
v_subj(lc).1       1.65972     0.146728      1.38142     1.55908      1.65796      1.75384       1.9486   0.00321326
v_subj(lc).2       1.18127     0.107291     0.969788     1.10868      1.18204      1.25633      1.38473   0.00256706
v_subj(lc).3       1.15511    0.0825547     0.994798     1.09937       1.1549      1.21204      1.31609   0.00191396
v_subj(lc).4       2.15053     0.156924      1.84601     2.04337       2.1466      2.25683      2.46075   0.00345717
v_subj(lc).5       1.55715     0.129348      1.29451      1.4718      1.55996      1.64574      1.81616   0.00270936
v_subj(lc).6       1.92007     0.168298      1.58608     1.80878      1.92548      2.02935      2.23778   0.00412439
v_subj(lc).7       2.10159     0.186754      1.72821     1.97985       2.0982      2.22631      2.46099   0.00385674
v_subj(lc).8       1.89196     0.118349      1.65735     1.81425      1.89274      1.97332      2.11835   0.00314912
v_subj(lc).9       1.53608     0.123577      1.29411     1.45328      1.53527      1.61957      1.78246   0.00267582
v_subj(lc).10      1.06301      0.10841     0.859165    0.989379      1.06531      1.13441      1.28383   0.00222686
v_subj(lc).11      1.95898     0.169548      1.61809     1.84535      1.95909      2.07312      2.28857   0.00369598
v_subj(lc).12      2.08867     0.180908      1.74123     1.96337      2.08867      2.20766      2.44614    0.0042015
v_subj(lc).13      1.13722    0.0959228     0.947431     1.07102      1.13883      1.20493      1.31804   0.00220546
v_subj(lc).14      2.09607     0.181044      1.73603     1.97009      2.09879       2.2196       2.4584    0.0036869
v_subj(lc).15      1.66041     0.157239      1.33788     1.55935       1.6652      1.76522      1.96626   0.00327083
v_subj(lc).16      1.12206     0.116082     0.896832     1.04483      1.12161       1.2002      1.35531    0.0025831
v_subj(lc).17      1.50631    0.0852573        1.342     1.44755      1.50539      1.56538      1.67472   0.00241759
v_subj(lc).18      1.00614     0.101275     0.809534    0.939514      1.00601      1.07635      1.20828   0.00254021
v_subj(lc).19      1.53543     0.142787      1.25807     1.43765       1.5334      1.63474      1.81346   0.00336367
v_subj(lc).20       1.0208     0.108351     0.803887    0.949096      1.02055        1.093      1.23281   0.00245795
v_subj(lc).21      1.73391     0.143591      1.45817     1.64085      1.73404      1.82523      2.01123   0.00332287
v_subj(lc).22      1.36406     0.127525      1.11683      1.2786      1.36502      1.45166      1.61307   0.00276885
v_subj(lc).23      1.77116     0.114772      1.54971     1.69434      1.77201      1.84313      2.00374   0.00270745
v_subj(lv).0        1.3563     0.121265       1.1226     1.27621      1.35612      1.43449      1.59529   0.00272654
v_subj(lv).1       2.11703     0.150077      1.82918     2.01144      2.11837      2.22048      2.40548   0.00353496
v_subj(lv).2       1.16188     0.106591     0.954677     1.08905      1.16112      1.23313      1.36937   0.00228354
